question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch10_sq_001,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch10_sq_001,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,model_paper_direct,What three questions did the king want to find answers to?,Medium,2,ELITE,1
q_10_eng_ch10_sq_002,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Why did the king first turn to the learned men in his kingdom?,Medium,2,ELITE,1
q_10_eng_ch10_sq_003,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Why was the king dissatisfied with the answers he received from the learned men?,Medium,2,ELITE,1
q_10_eng_ch10_sq_004,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Who did the king decide to visit after the learned men could not help him?,Easy,2,ELITE,1
q_10_eng_ch10_sq_005,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How did the hermit respond when the king asked him the three questions?,Medium,2,ELITE,1
sep_10_eng_ch10_sq_002,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,topic_separator,,,,,1
q_10_eng_ch10_sq_006,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What reward did the king offer for the right answers?,Medium,2,ELITE,1
q_10_eng_ch10_sq_007,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What different suggestions were given about the right time for every action?,Medium,2,ELITE,1
q_10_eng_ch10_sq_008,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did some people advise the king to make a timetable?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_009,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did others advise the king to attend to everything happening around him?,Medium,2,ELITE,1
q_10_eng_ch10_sq_010,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did some advisers recommend a council of wise men?,Medium,2,ELITE,1
q_10_eng_ch10_sq_011,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did some people suggest consulting magicians?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_012,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Who were suggested as the most necessary people?,Medium,2,ELITE,1
q_10_eng_ch10_sq_013,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What occupations were suggested as the most important?,Medium,2,ELITE,1
q_10_eng_ch10_sq_014,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did the king agree with none of the learned men?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_015,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did the king decide to consult the hermit?,Medium,2,ELITE,1
q_10_eng_ch10_sq_016,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did the king wear simple clothes before meeting the hermit?,Medium,2,ELITE,1
q_10_eng_ch10_sq_017,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What was the hermit doing when the king arrived?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_018,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did the king offer to dig for the hermit?,Medium,2,ELITE,1
q_10_eng_ch10_sq_019,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did the hermit continue to avoid answering directly?,Medium,2,ELITE,1
q_10_eng_ch10_sq_020,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What happened when the bearded man came running from the wood?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_021,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,How did the king help the wounded man?,Medium,2,ELITE,1
q_10_eng_ch10_sq_022,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did the king repeatedly wash and bandage the wound?,Medium,2,ELITE,1
q_10_eng_ch10_sq_023,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,What did the king do after carrying the wounded man into the hut?,Medium,2,ULTRA,1
q_10_eng_ch10_sq_024,1,ENGLISH_A | Unit 10 - The Three Questions by Leo Tolstoy | BISE Board Pattern | Q2 Short Questions | Core Story and Theme,prose_short,Why did the bearded man ask the king to forgive him?,Medium,2,ELITE,1
