question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b2_mcq_001,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ توحید,Remember,توحید کا لغوی معنی ہے:,ایک بنانا,اطاعت کرنا,حدود مقرر کرنا,برابری کرنا,A | ایک بنانا,Medium,1,ELITE,1
q_9_isl_b2_mcq_002,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ توحید,Remember,اللہ تعالیٰ کو ہر چیز کا خالق، مالک اور رزاق ماننا کہلاتا ہے:,توحید ربوبیت,توحید الوہیت,توحید اسماء,توحید صفات,A | توحید ربوبیت,Medium,1,ELITE,1
q_9_isl_b2_mcq_003,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ توحید,Remember,قرآن مجید کی کون سی سورت میں عقیدہ توحید نمایاں طور پر بیان کیا گیا ہے؟,التکویر,الإخلاص,الفلق,الناس,B | الإخلاص,Medium,1,ELITE,1
q_9_isl_b2_mcq_004,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ توحید,Remember,شرک کا لغوی معنی ہے:,حصہ دار بنانا,ایک ماننا,مالک سمجھنا,بھلائی کرنا,A | حصہ دار بنانا,Medium,1,ELITE,1
q_9_isl_b2_mcq_005,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ توحید,Remember,«لَمْ يَلِدْ وَلَمْ يُولَدْ» میں نفی کی گئی ہے:,ذات میں شرک کی,صفات میں شرک کی,الوہیت میں شرک کی,اسماء میں شرک کی,A | ذات میں شرک کی,Medium,1,ELITE,1
q_9_isl_b2_mcq_006,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ رسالت,Remember,رسالت کا لغوی معنی ہے:,پیغام پہنچانا,پیروی کرنا,مشہور کرنا,سیدھا راستہ دکھانا,A | پیغام پہنچانا,Medium,1,ELITE,1
q_9_isl_b2_mcq_007,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ رسالت,Remember,سورۃ الاحزاب کی کس آیت میں نبی کریم ﷺ کی ختم نبوت کا واضح اعلان ہے؟,بیس,تیس,چالیس,پچاس,C | چالیس,Medium,1,ELITE,1
q_9_isl_b2_mcq_008,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ رسالت,Remember,جس نبی کی پیدائش کی تمثیل بیان ہوئی، وہ ہیں:,حضرت نوحؑ,حضرت موسیٰؑ,حضرت عیسیٰؑ,حضرت محمد مصطفی ﷺ,C | حضرت عیسیٰؑ,Medium,1,ELITE,1
q_9_isl_b2_mcq_009,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ رسالت,Remember,تمام انبیاء کرام علیہم السلام میں امتیازات کے اعتبار سے اعلیٰ اور افضل ترین ہیں:,حضرت موسیٰؑ,حضرت عیسیٰؑ,حضرت ابراہیمؑ,حضرت محمد مصطفی ﷺ,D | حضرت محمد مصطفی ﷺ,Medium,1,ELITE,1
q_9_isl_b2_mcq_010,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | عقیدہ رسالت,Remember,رسول اللہ ﷺ کی وہ خصوصیت جو صرف آپ ﷺ ہی کو تفویض ہے:,صاحب کتاب,معصومیت,ختم نبوت,واجب الاطاعت,C | ختم نبوت,Medium,1,ELITE,1
q_9_isl_b2_mcq_011,1,ISLAMIAT | BAB 2 - ایمانیات و عبادات | BISE-ALIGNED PREPARATION | EXERCISE DIRECT | ملائکہ,Remember,فرشتوں کی تخلیق کا اولین مقصد ہے:,عبادت اور اطاعت الٰہی,روح قبض کرنا,بارش برسانا,روزی تقسیم کرنا,A | عبادت اور اطاعت الٰہی,Medium,1,ELITE,1
