question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,13.0 General Laboratory Safety,Topic,,,,,,,,,,,1
q_9_chem_ch13_001,1,13.0 General Laboratory Safety,Remember,Safety in a chemistry laboratory is whose responsibility?,کیمیا کی لیبارٹری میں حفاظت کس کی ذمہ داری ہے؟,Only the students’ responsibility / صرف طلبہ کی ذمہ داری,A shared responsibility / مشترکہ ذمہ داری,Only the professor’s responsibility / صرف پروفیسر کی ذمہ داری,Only the laboratory in-charge’s responsibility / صرف لیبارٹری انچارج کی ذمہ داری,B | A shared responsibility / مشترکہ ذمہ داری,Easy,1,PRO,1
q_9_chem_ch13_002,1,13.0 General Laboratory Safety,Understand,Why should a student become familiar with the laboratory layout before starting work?,کام شروع کرنے سے پہلے طالب علم کو لیبارٹری کی ترتیب سے واقف کیوں ہونا چاہیے؟,To avoid reading experiment instructions / تجربے کی ہدایات پڑھنے سے بچنے کے لیے,To choose a place for food / کھانا رکھنے کی جگہ چننے کے لیے,To work without supervision / نگرانی کے بغیر کام کرنے کے لیے,"To locate fittings, equipment and emergency facilities and work safely / فٹنگز، آلات اور ہنگامی سہولیات کی جگہ جاننے اور محفوظ کام کرنے کے لیے","D | To locate fittings, equipment and emergency facilities and work safely / فٹنگز، آلات اور ہنگامی سہولیات کی جگہ جاننے اور محفوظ کام کرنے کے لیے",Medium,1,PRO,1
q_9_chem_ch13_003,1,13.0 General Laboratory Safety,Remember,Why are students advised not to work alone in the laboratory?,طلبہ کو لیبارٹری میں اکیلے کام نہ کرنے کی ہدایت کیوں دی جاتی ہے؟,Help and supervision are needed if an accident occurs / حادثے کی صورت میں مدد اور نگرانی درکار ہوتی ہے,Experiments are never performed individually / تجربات کبھی انفرادی طور پر نہیں ہوتے,Laboratory instruments work only for groups / لیبارٹری آلات صرف گروہوں کے لیے کام کرتے ہیں,Chemicals become harmless in groups / گروہ میں کیمیکل بے ضرر ہو جاتے ہیں,A | Help and supervision are needed if an accident occurs / حادثے کی صورت میں مدد اور نگرانی درکار ہوتی ہے,Medium,1,PRO,1
q_9_chem_ch13_004,1,13.0 General Laboratory Safety,Remember,When should laboratory equipment be checked?,لیبارٹری کے آلات کب جانچے جانے چاہییں؟,Only after an accident / صرف حادثے کے بعد,After disposal / ضائع کرنے کے بعد,Before use / استعمال سے پہلے,Only at the end of the year / صرف سال کے آخر میں,C | Before use / استعمال سے پہلے,Easy,1,ULTRA,1
q_9_chem_ch13_005,1,13.0 General Laboratory Safety,Understand,What should be determined before beginning an experiment?,تجربہ شروع کرنے سے پہلے کیا طے کرنا چاہیے؟,Only the colour of the apparatus / صرف آلات کا رنگ,Potential hazards related to the equipment and procedure / آلات اور طریقۂ کار سے متعلق ممکنہ خطرات,Only the student’s seat number / صرف طالب علم کا نشست نمبر,The price of every chemical / ہر کیمیکل کی قیمت,B | Potential hazards related to the equipment and procedure / آلات اور طریقۂ کار سے متعلق ممکنہ خطرات,Medium,1,PRO,1
q_9_chem_ch13_006,1,13.0 General Laboratory Safety,Remember,Which item is prohibited in the laboratory?,لیبارٹری میں کون سی چیز ممنوع ہے؟,Food / کھانا,Lab coat / لیب کوٹ,Safety spectacles / حفاظتی عینک,Gloves / دستانے,A | Food / کھانا,Easy,1,ULTRA,1
q_9_chem_ch13_007,1,13.0 General Laboratory Safety,Remember,How should a gas be smelled if smelling is necessary?,اگر گیس سونگھنا ضروری ہو تو اسے کیسے سونگھنا چاہیے؟,Place the nose directly over the container / ناک کو براہِ راست برتن کے اوپر رکھیں,Inhale deeply from the bottle / بوتل سے گہری سانس لیں,Heat the gas near the face / گیس کو چہرے کے قریب گرم کریں,Waft the vapours gently toward the nose / بخارات کو نرمی سے ناک کی طرف لہرائیں,D | Waft the vapours gently toward the nose / بخارات کو نرمی سے ناک کی طرف لہرائیں,Easy,1,PRO,1
q_9_chem_ch13_008,1,13.0 General Laboratory Safety,Remember,What should be done with acids and bases before sewer disposal when permitted?,اجازت ہونے پر تیزاب اور اساس کو سیور میں ضائع کرنے سے پہلے کیا کرنا چاہیے؟,Heat them strongly / انہیں سخت گرم کریں,Mix them with flammable solvents / انہیں قابلِ اشتعال محللات سے ملائیں,Neutralize them / انہیں بے اثر کریں,Store them in food containers / انہیں خوراک کے برتنوں میں رکھیں,C | Neutralize them / انہیں بے اثر کریں,Medium,1,PRO,1
q_9_chem_ch13_009,1,13.0 General Laboratory Safety,Remember,Where should hazardous laboratory waste be taken?,خطرناک لیبارٹری فضلہ کہاں لے جانا چاہیے؟,A hazardous-waste disposal site / خطرناک فضلہ تلف کرنے کی جگہ,An ordinary desk drawer / عام میز کی دراز,A drinking-water tank / پینے کے پانی کی ٹینکی,A food cupboard / خوراک کی الماری,A | A hazardous-waste disposal site / خطرناک فضلہ تلف کرنے کی جگہ,Easy,1,PRO,1
