question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b1_short_001,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT,textbook_exercise_direct,قرآن مجید کا مختصر تعارف پیش کریں۔,Medium,2,ELITE,1
q_9_isl_b1_short_002,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT,textbook_exercise_direct,قرآن مجید ایک مکمل کتاب ہے۔ وضاحت کریں۔,Medium,2,ELITE,1
q_9_isl_b1_short_003,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT,textbook_exercise_direct,حضرت عثمان غنیؓ نے سب مسلمانوں کو ایک قراءت پر کس طرح متفق کیا؟,Medium,2,ELITE,1
q_9_isl_b1_short_004,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT,textbook_exercise_direct,حدیث کے معنی و مفہوم بیان کریں۔,Medium,2,ELITE,1
q_9_isl_b1_short_005,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT,textbook_exercise_direct,دور نبوی ﷺ میں حفاظت حدیث کے کوئی سے دو ذرائع لکھیں۔,Medium,2,ELITE,1
q_9_isl_b1_short_006,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXERCISE DIRECT,textbook_exercise_direct,صحاح ستہ میں سے دو کتابوں کے نام لکھیں۔,Medium,2,ELITE,1
q_9_isl_b1_short_007,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,قرآن مجید کو آخری آسمانی کتاب کیوں کہا جاتا ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_008,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,قرآن مجید کی حفاظت کے بارے میں اللہ تعالیٰ کا کیا وعدہ ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_009,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,قرآن مجید انسانوں کے لیے ہدایت کا ذریعہ کیسے ہے؟,Medium,2,ULTRA,1
q_9_isl_b1_short_010,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,عہد نبوی ﷺ میں قرآن مجید کو کن طریقوں سے محفوظ کیا گیا؟,Medium,2,ULTRA,1
q_9_isl_b1_short_011,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,کتابتِ وحی کے لیے کن اشیاء کو استعمال کیا جاتا تھا؟,Medium,2,ULTRA,1
q_9_isl_b1_short_012,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,جنگ یمامہ کے بعد جمع قرآن کی ضرورت کیوں پیش آئی؟,Medium,2,ULTRA,1
q_9_isl_b1_short_013,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,جمع قرآن کی تجویز کس نے پیش کی اور کیوں؟,Medium,2,ULTRA,1
q_9_isl_b1_short_014,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,حضرت ابوبکر صدیقؓ نے جمع قرآن کے لیے کس صحابی کو منتخب کیا؟,Medium,2,ULTRA,1
q_9_isl_b1_short_015,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,حضرت زید بن ثابتؓ کی جمع قرآن میں کیا ذمہ داری تھی؟,Medium,2,ULTRA,1
q_9_isl_b1_short_016,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,حضرت عمر فاروقؓ کے بعد جمع شدہ مصحف کس کے پاس محفوظ رہا؟,Medium,2,ULTRA,1
q_9_isl_b1_short_017,1,ISLAMIAT | BAB 1 - قرآن مجید اور حدیث نبوی ﷺ | BISE-ALIGNED PREPARATION | Q2 PREPARATION | EXTRA IMPORTANT | قرآن مجید,extra_important_quran,حضرت عثمان غنیؓ کے دور میں اختلاف قراءت کا مسئلہ کیوں پیدا ہوا؟,Medium,2,ULTRA,1
