question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_cs_ch8_001,1,8.1 Secure Computer Usage,Topic,topic_separator,,,,,,1
q_9_cs_ch8_lq_001,1,8.1 Secure Computer Usage,Long,discuss,Discuss the importance of responsible computer usage in today’s digital world.,آج کی digital world میں responsible computer usage کی importance پر بحث کریں۔,Medium,5,PRO,1
sep_9_cs_ch8_002,1,8.2 Responsible Computer Usage,Topic,topic_separator,,,,,,1
q_9_cs_ch8_lq_002,1,8.2 Responsible Computer Usage,Long,process_procedure,Describe the steps that should be taken to ensure the safe operation of digital platforms and devices.,digital platforms اور devices کی safe operation ensure کرنے کے لیے required steps بیان کریں۔,Hard,5,PRO,1
q_9_cs_ch8_lq_003,1,8.2 Responsible Computer Usage,Long,process_procedure,"Explain account-security practices, including strong unique passwords, Two-Factor Authentication, activity review, and regular backups.",account-security practices کی وضاحت کریں، جن میں strong unique passwords، Two-Factor Authentication، activity review اور regular backups شامل ہوں۔,Medium,5,ULTRA,1
q_9_cs_ch8_lq_004,1,8.2 Responsible Computer Usage,Long,cause_effect,"Discuss phishing, suspicious emails, harmful links, untrusted downloads, and the risks of using public Wi-Fi for sensitive transactions.",phishing، suspicious emails، harmful links، untrusted downloads اور sensitive transactions کے لیے public Wi-Fi use کرنے کے risks پر بحث کریں۔,Hard,5,ULTRA,1
q_9_cs_ch8_lq_005,1,8.2 Responsible Computer Usage,Long,compare,"Explain hardware and software compatibility and discuss the importance of system requirements, updates, and trusted installation sources.",hardware اور software compatibility کی وضاحت کریں اور system requirements، updates اور trusted installation sources کی importance پر بحث کریں۔,Medium,5,ELITE,1
sep_9_cs_ch8_003,1,8.4 Intellectual Property Rights,Topic,topic_separator,,,,,,1
q_9_cs_ch8_lq_006,1,8.4 Intellectual Property Rights,Long,discuss,Explain the concept of data ethics and its importance in handling personal and sensitive information.,data ethics کے concept اور personal و sensitive information handle کرنے میں اس کی importance explain کریں۔,Hard,5,PRO,1
q_9_cs_ch8_lq_007,1,8.4 Intellectual Property Rights,Long,compare,"Compare copyright, trademark, and patent in terms of the creations or identities they protect and the rights they provide.",copyright، trademark اور patent کا protected creations یا identities اور provided rights کے لحاظ سے موازنہ کریں۔,Hard,5,ULTRA,1
q_9_cs_ch8_lq_008,1,8.4 Intellectual Property Rights,Long,cause_effect,"Explain software piracy, software licensing, and the harmful effects of illegal copying and distribution on creators and developers.",software piracy، software licensing اور illegal copying و distribution کے creators اور developers پر harmful effects کی وضاحت کریں۔,Hard,5,ULTRA,1
sep_9_cs_ch8_004,1,8.3 Best Practices in Online Behavior,Topic,topic_separator,,,,,,1
q_9_cs_ch8_lq_009,1,8.3 Best Practices in Online Behavior,Long,discuss,"Explain responsible social-media behaviour, privacy settings, online etiquette, and protection from cyberbullying.",responsible social-media behaviour، privacy settings، online etiquette اور cyberbullying سے protection کی وضاحت کریں۔,Medium,5,ULTRA,1
