question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,8.1 Secure Computer Usage,Topic,,,,,,,,,,,1
q_9_cs_ch8_001,1,8.1 Secure Computer Usage,Remember,What does safe and responsible computer usage involve?,safe اور responsible computer usage میں کیا شامل ہے؟,Sharing every password publicly / ہر password publicly share کرنا,Protecting personal information and behaving respectfully and ethically online / personal information protect کرنا اور online respectfully اور ethically behave کرنا,Ignoring all security warnings / تمام security warnings ignore کرنا,Using only the most expensive hardware / صرف سب سے expensive hardware use کرنا,B | Protecting personal information and behaving respectfully and ethically online / personal information protect کرنا اور online respectfully اور ethically behave کرنا,Easy,1,PRO,1
q_9_cs_ch8_002,1,8.1 Secure Computer Usage,Understand,Why is responsible computer usage important?,responsible computer usage important کیوں ہے؟,It makes every computer faster / یہ ہر computer کو faster بناتی ہے,It removes the need for software / یہ software کی ضرورت ختم کرتی ہے,It allows all data to be shared openly / یہ تمام data کو openly share کرنے دیتی ہے,It helps users gain benefits while avoiding risks and protecting others / یہ users کو risks avoid اور دوسروں کو protect کرتے ہوئے benefits حاصل کرنے میں help کرتی ہے,D | It helps users gain benefits while avoiding risks and protecting others / یہ users کو risks avoid اور دوسروں کو protect کرتے ہوئے benefits حاصل کرنے میں help کرتی ہے,Medium,1,PRO,1
TOPIC_SEP,1,8.2 Responsible Computer Usage,Topic,,,,,,,,,,,1
q_9_cs_ch8_003,1,8.2 Responsible Computer Usage,Remember,What is hardware?,hardware کیا ہے؟,The physical parts of a computer / computer کے physical parts,Programs and applications / programs اور applications,Online behaviour rules / online behaviour rules,A software license / software license,A | The physical parts of a computer / computer کے physical parts,Easy,1,ULTRA,1
q_9_cs_ch8_004,1,8.2 Responsible Computer Usage,Remember,What is software?,software کیا ہے؟,The physical monitor and keyboard / physical monitor اور keyboard,A computer table / computer table,Programs and applications used by a computer / computer کے used programs اور applications,A network cable only / صرف network cable,C | Programs and applications used by a computer / computer کے used programs اور applications,Easy,1,ULTRA,1
q_9_cs_ch8_005,1,8.2 Responsible Computer Usage,Understand,Why should outdated or insecure software be avoided?,outdated یا insecure software کو avoid کیوں کرنا چاہیے؟,It always improves security / یہ ہمیشہ security improve کرتی ہے,It guarantees faster performance / یہ faster performance کی guarantee دیتی ہے,It can increase the risk of viruses or information theft / یہ viruses یا information theft کا risk بڑھا سکتی ہے,It removes the need for antivirus / یہ antivirus کی ضرورت ختم کرتی ہے,C | It can increase the risk of viruses or information theft / یہ viruses یا information theft کا risk بڑھا سکتی ہے,Medium,1,PRO,1
q_9_cs_ch8_006,1,8.2 Responsible Computer Usage,Understand,What does efficiency mean when choosing hardware and software?,hardware اور software choose کرتے وقت efficiency کا کیا مطلب ہے؟,They help complete tasks quickly and effectively / وہ tasks کو quickly اور effectively complete کرنے میں help کریں,They have matching colours / ان کے colours match کریں,They are the most expensive options / وہ سب سے expensive options ہوں,They require no system resources / انہیں کوئی system resources نہ چاہییں,A | They help complete tasks quickly and effectively / وہ tasks کو quickly اور effectively complete کرنے میں help کریں,Medium,1,ULTRA,1
q_9_cs_ch8_007,1,8.2 Responsible Computer Usage,Remember,What should be checked to ensure hardware and software compatibility?,hardware اور software compatibility ensure کرنے کے لیے کیا check کرنا چاہیے؟,Only the brand logo / صرف brand logo,Only the package colour / صرف package colour,Only the purchase date / صرف purchase date,Software system requirements and computer specifications / software system requirements اور computer specifications,D | Software system requirements and computer specifications / software system requirements اور computer specifications,Easy,1,PRO,1
q_9_cs_ch8_008,1,8.2 Responsible Computer Usage,Remember,Which combination makes a strong password?,کون سا combination strong password بناتا ہے؟,Only the word password / صرف word password,"Letters, numbers, and special characters / letters، numbers اور special characters",Only a first name / صرف first name,The same simple password for every account / ہر account کے لیے same simple password,"B | Letters, numbers, and special characters / letters، numbers اور special characters",Easy,1,PRO,1
