question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
q_9_isl_b7_mcq_001,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,Remember,جو شخص بڑے کام انجام دینا چاہتا ہے، اس میں ہونا ضروری ہے:,حسن و جمال,جسمانی قوت,بہادری,اعتماد,D | اعتماد,Medium,1,ELITE,1
q_9_isl_b7_mcq_002,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,Remember,اللہ تعالیٰ نے خود اعتمادی اور خود انحصاری کے حکم کے ساتھ ساتھ تلقین کی:,صبر و شکر کی,عجز و انکساری کی,باہمی تعاون کی,اللہ تعالیٰ پر توکل کی,D | اللہ تعالیٰ پر توکل کی,Medium,1,ELITE,1
q_9_isl_b7_mcq_003,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,Remember,انسان کو خود اعتمادی اور خود انحصاری کی وجہ سے پیدا ہونے والے تکبر سے بچاتا ہے:,توکل,صبر,حج,تحمل,A | توکل,Medium,1,ELITE,1
q_9_isl_b7_mcq_004,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,Remember,انسان اپنے معاملات احسن طریقے سے انجام دے سکتا ہے:,مال و دولت سے,تعلقات کی بدولت,انصاف کی وجہ سے,خود اعتمادی کے سبب,D | خود اعتمادی کے سبب,Medium,1,ELITE,1
q_9_isl_b7_mcq_005,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXERCISE DIRECT | خود اعتمادی و خود انحصاری,Remember,کسی بھی قوم کی اجتماعی عزت و وقار کا سبب بنتی ہے:,تجارت,غربت,سیر و سیاحت,خود اعتمادی,D | خود اعتمادی,Medium,1,ELITE,1
q_9_isl_b7_mcq_006,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود اعتمادی کا بنیادی مفہوم ہے:,اپنی صلاحیت پر یقین,دوسروں پر مکمل انحصار,غرور,مال کی کثرت,A | اپنی صلاحیت پر یقین,Medium,1,ULTRA,1
q_9_isl_b7_mcq_007,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود انحصاری سے مراد ہے:,اپنی کوشش سے کام کرنا,محنت چھوڑ دینا,صرف دوسروں سے مدد لینا,تنہائی اختیار کرنا,A | اپنی کوشش سے کام کرنا,Medium,1,ULTRA,1
q_9_isl_b7_mcq_008,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,اسلام خود اعتمادی کے ساتھ سکھاتا ہے:,توکل علی اللہ,غرور,بے نیازی از خدا,خود پسندی,A | توکل علی اللہ,Medium,1,ULTRA,1
q_9_isl_b7_mcq_009,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود اعتمادی انسان کو مشکل میں بناتی ہے:,ثابت قدم,مایوس,سست,بددل,A | ثابت قدم,Medium,1,ULTRA,1
q_9_isl_b7_mcq_010,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود انحصاری کا مخالف رویہ ہے:,غیر ضروری محتاجی,محنت,اعتماد,توکل,A | غیر ضروری محتاجی,Medium,1,ULTRA,1
q_9_isl_b7_mcq_011,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,مشکل حالات میں مومن کو چاہیے:,اللہ پر بھروسہ اور کوشش,ہمت چھوڑ دے,صرف انتظار کرے,دوسروں کو الزام دے,A | اللہ پر بھروسہ اور کوشش,Medium,1,ULTRA,1
q_9_isl_b7_mcq_012,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود اعتمادی کا درست اسلامی انداز ہے:,کوشش کے ساتھ توکل,تکبر,خود پرستی,دوسروں کی تحقیر,A | کوشش کے ساتھ توکل,Medium,1,ULTRA,1
q_9_isl_b7_mcq_013,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود اعتمادی قوموں میں پیدا کرتی ہے:,عزت و وقار,غلامی,مایوسی,کم ہمتی,A | عزت و وقار,Medium,1,ULTRA,1
q_9_isl_b7_mcq_014,1,ISLAMIAT | BAB 7 - اسلامی تعلیمات اور عصر حاضر کے تقاضے | BISE-ALIGNED PREPARATION | Q1 MCQ POOL | EXTRA IMPORTANT | خود اعتمادی و خود انحصاری,Remember,خود انحصاری سے انسان میں بڑھتی ہے:,ذمہ داری,بے عملی,حسد,غیبت,A | ذمہ داری,Medium,1,ULTRA,1
