question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,9.1 Entrepreneurship,Topic,,,,,,,,,,,1
q_9_cs_ch9_001,1,9.1 Entrepreneurship,Remember,What is entrepreneurship?,entrepreneurship کیا ہے؟,Only working for a large company / صرف large company کے لیے work کرنا,The process of starting and running a new business or organization / new business یا organization start اور run کرنے کا process,Only buying and selling shares / صرف shares buy اور sell کرنا,Only creating advertisements / صرف advertisements create کرنا,B | The process of starting and running a new business or organization / new business یا organization start اور run کرنے کا process,Easy,1,PRO,1
q_9_cs_ch9_002,1,9.1 Entrepreneurship,Remember,Who is an entrepreneur?,entrepreneur کون ہوتا ہے؟,A person who only uses products / person جو صرف products use کرے,A person who avoids every decision / person جو ہر decision avoid کرے,A person who only repairs hardware / person جو صرف hardware repair کرے,A person who creates and runs a business / person جو business create اور run کرے,D | A person who creates and runs a business / person جو business create اور run کرے,Easy,1,PRO,1
q_9_cs_ch9_003,1,9.1 Entrepreneurship,Remember,Which quality is commonly associated with entrepreneurs?,کون سی quality entrepreneurs کے ساتھ commonly associated ہے؟,Innovation / innovation,Avoiding all change / تمام change avoid کرنا,Rejecting every opportunity / ہر opportunity reject کرنا,Following only old methods / صرف old methods follow کرنا,A | Innovation / innovation,Easy,1,PRO,1
q_9_cs_ch9_004,1,9.1 Entrepreneurship,Understand,What does innovation mean in entrepreneurship?,entrepreneurship میں innovation کا کیا مطلب ہے؟,Copying every competitor exactly / ہر competitor کو exactly copy کرنا,Avoiding new ideas / new ideas avoid کرنا,Creating something new or improving an existing solution / کچھ new create یا existing solution improve کرنا,Stopping all product improvement / تمام product improvement stop کرنا,C | Creating something new or improving an existing solution / کچھ new create یا existing solution improve کرنا,Easy,1,PRO,1
q_9_cs_ch9_005,1,9.1 Entrepreneurship,Understand,Why is risk-taking part of entrepreneurship?,risk-taking entrepreneurship کا part کیوں ہے؟,Every new business is guaranteed to succeed / ہر new business کی success guaranteed ہوتی ہے,Entrepreneurs never make decisions / entrepreneurs کبھی decisions نہیں کرتے,"Starting a business may fail, but calculated risks can bring rewards / business fail ہو سکتا ہے مگر calculated risks rewards دے سکتے ہیں",Risk-taking means ignoring all information / risk-taking کا مطلب تمام information ignore کرنا ہے,"C | Starting a business may fail, but calculated risks can bring rewards / business fail ہو سکتا ہے مگر calculated risks rewards دے سکتے ہیں",Medium,1,PRO,1
q_9_cs_ch9_006,1,9.1 Entrepreneurship,Remember,Which is an example of a local entrepreneurial business?,local entrepreneurial business کی example کون سی ہے؟,A neighbourhood bakery or clothing boutique / neighbourhood bakery یا clothing boutique,A public road sign / public road sign,A school timetable / school timetable,A network cable / network cable,A | A neighbourhood bakery or clothing boutique / neighbourhood bakery یا clothing boutique,Easy,1,ULTRA,1
q_9_cs_ch9_007,1,9.1 Entrepreneurship,Remember,What does the French origin of the word entrepreneur mean?,word entrepreneur کی French origin کا کیا meaning ہے؟,To avoid / to avoid,To copy / to copy,To retire / to retire,To undertake / to undertake,D | To undertake / to undertake,Medium,1,ELITE,1
q_9_cs_ch9_008,1,9.1 Entrepreneurship,Understand,Why is entrepreneurship important for economic growth?,entrepreneurship economic growth کے لیے important کیوں ہے؟,It removes all competition / یہ تمام competition remove کرتی ہے,It creates jobs and provides new products and services / یہ jobs create اور new products اور services provide کرتی ہے,It stops innovation / یہ innovation stop کرتی ہے,It reduces the production of goods / یہ goods کی production reduce کرتی ہے,B | It creates jobs and provides new products and services / یہ jobs create اور new products اور services provide کرتی ہے,Medium,1,PRO,1
q_9_cs_ch9_009,1,9.1 Entrepreneurship,Understand,How does entrepreneurship foster innovation?,entrepreneurship innovation کو کیسے foster کرتی ہے؟,Businesses avoid all new technology / businesses تمام new technology avoid کرتے ہیں,New businesses introduce fresh ideas and improved solutions / new businesses fresh ideas اور improved solutions introduce کرتے ہیں,Entrepreneurs copy only old products / entrepreneurs صرف old products copy کرتے ہیں,Competition is completely removed / competition completely remove ہو جاتی ہے,B | New businesses introduce fresh ideas and improved solutions / new businesses fresh ideas اور improved solutions introduce کرتے ہیں,Medium,1,PRO,1
