question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b3_short_001,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,textbook_exercise_direct,اہل مدینہ کو رومیوں کی جنگی تیاری کے بارے میں کیا خبر پہنچی؟,Medium,2,ELITE,1
q_10_isl_b3_short_002,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,textbook_exercise_direct,نبی کریم ﷺ نے کن لوگوں کے لیے جنگ میں شرکت لازمی قرار دی؟,Medium,2,ELITE,1
q_10_isl_b3_short_003,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,textbook_exercise_direct,غزوہ تبوک کے موقع پر حضرت عثمان رضی اللہ عنہ نے کتنا سامان نبی کریم ﷺ کی خدمت میں پیش کیا؟,Medium,2,ELITE,1
q_10_isl_b3_short_004,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,textbook_exercise_direct,غزوہ تبوک کے موقع پر خواتین نے کس طرح اسلامی لشکر کی تیاری میں مدد کی؟,Medium,2,ELITE,1
q_10_isl_b3_short_005,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,textbook_exercise_direct,غزوہ تبوک کے موقع پر پیچھے رہنے والوں نے کیا کردار ادا کیا؟,Medium,2,ELITE,1
q_10_isl_b3_short_006,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,textbook_exercise_direct,حجۃ الوداع سے کیا مراد ہے؟,Medium,2,ELITE,1
q_10_isl_b3_short_007,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,textbook_exercise_direct,غدیر خم کے حوالے سے حضرت علی رضی اللہ عنہ کی فضیلت بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b3_short_008,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,textbook_exercise_direct,تکمیل دین کے حوالے سے آیت مبارکہ کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b3_short_009,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,textbook_exercise_direct,خطبہ حجۃ الوداع میں نبی کریم ﷺ نے انسانی مساوات کے حوالے سے کیا ارشاد فرمایا؟,Medium,2,ELITE,1
q_10_isl_b3_short_010,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,textbook_exercise_direct,نبی کریم ﷺ نے ہدایت و رہنمائی کے لیے کن دو چیزوں کو مضبوطی سے پکڑنے کا حکم دیا؟,Medium,2,ELITE,1
q_10_isl_b3_short_011,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,textbook_exercise_direct,نبی کریم ﷺ نے آخری لمحات میں کیا وصیت فرمائی؟,Medium,2,ELITE,1
