question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch6_sq_001,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch6_sq_001,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"What is drug abuse, and how does it affect individuals and society?",Medium,2,ELITE,1
q_10_eng_ch6_sq_002,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What are the common causes of drug abuse in Pakistan?,Medium,2,ELITE,1
q_10_eng_ch6_sq_003,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,How does drug abuse negatively impact a person's health and behaviour?,Medium,2,ELITE,1
q_10_eng_ch6_sq_004,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Why is drug abuse considered dangerous especially among the youth?,Medium,2,ELITE,1
q_10_eng_ch6_sq_005,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What role can the government play in controlling drug abuse?,Medium,2,ELITE,1
q_10_eng_ch6_sq_006,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What role can families and schools play in preventing drug abuse?,Medium,2,ELITE,1
q_10_eng_ch6_sq_007,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What are some of the harmful effects of drug abuse?,Medium,2,ELITE,1
q_10_eng_ch6_sq_008,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"What are rehabilitation centers, and how do they help the people suffering from drug addiction?",Medium,2,ELITE,1
sep_10_eng_ch6_sq_002,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,topic_separator,,,,,1
q_10_eng_ch6_sq_009,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,Why is drug abuse described as a growing problem in Pakistan?,Medium,2,ELITE,1
q_10_eng_ch6_sq_010,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,prose_short,What is meant by drug abuse?,Easy,2,ELITE,1
q_10_eng_ch6_sq_011,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,evidence_based,Which illegal drugs are mentioned in the lesson?,Easy,2,ELITE,1
q_10_eng_ch6_sq_012,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,Why can sleeping pills and painkillers also become harmful?,Medium,2,ELITE,1
q_10_eng_ch6_sq_013,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,What happens when a person becomes addicted to drugs?,Medium,2,ELITE,1
q_10_eng_ch6_sq_014,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How does lack of awareness lead young people toward drugs?,Medium,2,ELITE,1
q_10_eng_ch6_sq_015,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q2 Short Questions | Core Lesson,cause_effect,How does curiosity become a cause of drug abuse?,Medium,2,ULTRA,1
