question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,10.1 Evolution and Adaptation,topic_separator,,,,,,1
q_10_bio_ch10_sq_001,1,10.1 Evolution and Adaptation,definition_function,Define evolution and state the level and time scale at which evolutionary changes occur.,ارتقا کی تعریف کریں اور وہ سطح اور زمانی مدت بیان کریں جن پر ارتقائی تبدیلیاں واقع ہوتی ہیں۔,Easy,2,PRO,1
q_10_bio_ch10_sq_002,1,10.1 Evolution and Adaptation,definition_example,Define an adaptation and give one example related to survival in a particular environment.,موافقت کی تعریف کریں اور کسی مخصوص ماحول میں بقا سے متعلق ایک مثال دیں۔,Easy,2,ULTRA,1
q_10_bio_ch10_sq_003,1,10.1 Evolution and Adaptation,cause_effect,Explain how the accumulation of heritable changes over successive generations may result in the formation of new species.,وضاحت کریں کہ مسلسل نسلوں میں موروثی تبدیلیوں کا جمع ہونا نئی انواع کی تشکیل کا سبب کیسے بن سکتا ہے۔,Medium,2,PRO,1
q_10_bio_ch10_sq_004,1,10.1 Evolution and Adaptation,concept_explanation,"Explain the relationship between environmental conditions, adaptations, and the survival of organisms.",ماحولیاتی حالات، موافقتوں اور جانداروں کی بقا کے باہمی تعلق کی وضاحت کریں۔,Medium,2,ELITE,1
q_10_bio_ch10_sq_005,1,10.1 Evolution and Adaptation,explain_reason,Explain why variation among individuals is necessary for evolution to occur.,وضاحت کریں کہ ارتقا کے وقوع پذیر ہونے کے لیے افراد میں تغیر کیوں ضروری ہے۔,Hard,2,PRO,1
TOPIC_SEP,1,10.1 Darwin's Observations During the Voyage of HMS Beagle,topic_separator,,,,,,1
q_10_bio_ch10_sq_006,1,10.1 Darwin's Observations During the Voyage of HMS Beagle,list_state,"State the duration of Darwin's voyage, the name of the ship, and the year in which he published On the Origin of Species.",ڈارون کے سفر کی مدت، جہاز کا نام اور On the Origin of Species کی اشاعت کا سال بیان کریں۔,Easy,2,PRO,1
q_10_bio_ch10_sq_007,1,10.1 Darwin's Observations During the Voyage of HMS Beagle,list_state,Enlist any four important observations made by Darwin during his voyage.,ڈارون کے سفر کے دوران کیے گئے کوئی چار اہم مشاہدات لکھیں۔,Easy,2,PRO,1
q_10_bio_ch10_sq_008,1,10.1 Darwin's Observations During the Voyage of HMS Beagle,cause_effect,Explain how the different sizes and shapes of finch beaks were related to the food sources available on different islands.,وضاحت کریں کہ فنچز کی چونچوں کی مختلف جسامتیں اور شکلیں مختلف جزیروں پر دستیاب غذائی ذرائع سے کیسے متعلق تھیں۔,Medium,2,PRO,1
