question_hash,active,topic,question_type,question_style,tense,question,answer,difficulty,marks,weightage,smart_syllabus,source_reference
sep_9_eng_b_urdu_eng_001,1,ENGLISH_B | Urdu to English Translation | It Sentences | Heading,Topic,topic_separator,It Sentences,,,,,,1,
sep_9_eng_b_urdu_eng_002,1,ENGLISH_B | Urdu to English Translation | It Sentences | Past Paper,Topic,topic_separator,It Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0001,1,ENGLISH_B | Urdu to English Translation | It Sentences | Past Paper | 2017 Evening,Long,translate_to_english,It Sentences,آج سخت گرمی ہے۔,It is very hot today.,Medium,1,ULTRA,1,Past Paper | 2017 Evening
q_9_eng_b_urdu_eng_0002,1,ENGLISH_B | Urdu to English Translation | It Sentences | Past Paper | 2015 Evening,Long,translate_to_english,It Sentences,شام ہو گئی۔,It is evening.,Medium,1,ULTRA,1,Past Paper | 2015 Evening
sep_9_eng_b_urdu_eng_003,1,ENGLISH_B | Urdu to English Translation | It Sentences | Mind-Sharp Practice,Topic,topic_separator,It Sentences,,,,,,1,
q_9_eng_b_urdu_eng_0003,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,آج بہت گرمی ہے۔,It is very hot today.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0004,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,اب شام ہو چکی ہے۔,It is evening now.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0005,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,کل اتوار تھا۔,It was Sunday yesterday.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0006,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,آج موسم خوشگوار ہے۔,It is pleasant today.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0007,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,رات کے نو بجے ہیں۔,It is nine o’clock at night.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0008,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,یہاں سے سکول دو میل دور ہے۔,It is two miles from here to the school.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0009,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,صبح سے بارش ہو رہی ہے۔,It has been raining since morning.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0010,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,پانچ بجنے والے ہیں۔,It is about to be five o’clock.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0011,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,اس مسئلے کو حل کرنا مشکل ہے۔,It is difficult to solve this problem.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0012,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,سچ بولنا ہمارا فرض ہے۔,It is our duty to speak the truth.,Medium,1,ULTRA,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0013,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,کمرے میں اندھیرا تھا۔,It was dark in the room.,Easy,1,PRO,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0014,1,ENGLISH_B | Urdu to English Translation | It Sentences | Board-Pattern Practice,Long,translate_to_english,It Sentences,ممکن ہے کہ وہ آج آ جائے۔,It is possible that he may come today.,Hard,1,ELITE,1,Board-Pattern Practice
q_9_eng_b_urdu_eng_0310,1,ENGLISH_B | Urdu to English Translation | It Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,It Sentences,آج باہر بہت خوشگوار ہے۔,It is very pleasant outside today.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0311,1,ENGLISH_B | Urdu to English Translation | It Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,It Sentences,یہاں بہت اندھیرا ہے۔,It is very dark here.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0312,1,ENGLISH_B | Urdu to English Translation | It Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,It Sentences,سکول جانے کا وقت ہے۔,It is time to go to school.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
q_9_eng_b_urdu_eng_0313,1,ENGLISH_B | Urdu to English Translation | It Sentences | Expanded Mind-Sharp Practice,Long,translate_to_english,It Sentences,سچ بولنا آسان نہیں ہے۔,It is not easy to speak the truth.,Easy,1,PRO,1,Expanded Mind-Sharp Practice
