question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,13 Introduction to Probability,topic_separator,,,,,,1
q_9_math_ch13_sq_001,1,13 Introduction to Probability,definition_formula,Define probability and state its formula in terms of favourable and total possible outcomes.,probability کی تعریف کریں اور favourable اور total possible outcomes کی terms میں اس کا formula بیان کریں۔,Easy,2,IMPORTANT,1
TOPIC_SEP,1,13 Basic Concepts of Probability,topic_separator,,,,,,1
q_9_math_ch13_sq_002,1,13 Basic Concepts of Probability,list_state,"Define experiment, outcome, favourable outcome, sample space, sample point, and event.",experiment، outcome، favourable outcome، sample space، sample point اور event کی definitions بیان کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,13 Types of Events,topic_separator,,,,,,1
q_9_math_ch13_sq_003,1,13 Types of Events,classification,"Classify events as certain, impossible, likely, unlikely, and equally likely by stating their probability ranges or values.",events کو certain، impossible، likely، unlikely اور equally likely میں probability ranges یا values کے مطابق classify کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,13 Range of Probability,topic_separator,,,,,,1
q_9_math_ch13_sq_004,1,13 Range of Probability,law_principle,State the range of probability for any event A and interpret its two extreme values.,any event A کے لیے probability کا range بیان کریں اور two extreme values interpret کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,13.1 Probability of a Single Event,topic_separator,,,,,,1
q_9_math_ch13_sq_005,1,13.1 Probability of a Single Event,process_steps,State the steps for finding the probability of a single event from its sample space.,sample space سے single event کی probability معلوم کرنے کے steps بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,13.1 Sample Space of a Die,topic_separator,,,,,,1
q_9_math_ch13_sq_006,1,13.1 Sample Space of a Die,list_state,Write the sample space for one roll of a fair die and identify the event of obtaining an even number.,fair die کے one roll کا sample space لکھیں اور even number حاصل ہونے کا event identify کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,13.1 Pair of Dice,topic_separator,,,,,,1
q_9_math_ch13_sq_007,1,13.1 Pair of Dice,table_based,Describe how the 36 ordered outcomes of two fair dice are arranged in a sample-space table.,describe کریں کہ two fair dice کے 36 ordered outcomes کو sample-space table میں کیسے arrange کیا جاتا ہے۔,Medium,2,ELITE,1
q_9_math_ch13_sq_008,1,13.1 Pair of Dice,numerical_short,"For two fair dice, formulate the event of obtaining an even number on both dice and state how its probability is calculated.",two fair dice کے لیے both dice پر even number حاصل ہونے کا event formulate کریں اور probability calculate کرنے کا طریقہ بیان کریں۔,Hard,2,ELITE,1
TOPIC_SEP,1,13.2 Probability of an Event Not Occurring,topic_separator,,,,,,1
q_9_math_ch13_sq_009,1,13.2 Probability of an Event Not Occurring,definition_formula,Define the complement A′ of an event A and state the complement rule.,event A کے complement A′ کی تعریف کریں اور complement rule بیان کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,13.2 Complementary Events,topic_separator,,,,,,1
q_9_math_ch13_sq_010,1,13.2 Complementary Events,formula_relationship,State the relationship between the probabilities of an event and its complement and explain why their sum is 1.,event اور اس کے complement کی probabilities کا relationship بیان کریں اور explain کریں کہ ان کا sum 1 کیوں ہے۔,Medium,2,ELITE,1
TOPIC_SEP,1,13.3 Real-Life Probability,topic_separator,,,,,,1
q_9_math_ch13_sq_011,1,13.3 Real-Life Probability,application_scenario,Explain how the complement rule is used to find the probability that a missile does not hit a target.,وضاحت کریں کہ missile کے target کو hit نہ کرنے کی probability معلوم کرنے کے لیے complement rule کیسے use ہوتا ہے۔,Medium,2,ELITE,1
TOPIC_SEP,1,13.3 Selection from a Bag,topic_separator,,,,,,1
q_9_math_ch13_sq_012,1,13.3 Selection from a Bag,application_scenario,Describe the sample space and favourable outcomes when one ball is selected from a bag containing balls of two colours.,two colours کی balls والے bag سے one ball select کرنے پر sample space اور favourable outcomes describe کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,13.3 Playing Cards,topic_separator,,,,,,1
q_9_math_ch13_sq_013,1,13.3 Playing Cards,list_state,"State the number of cards, suits, and cards in each suit in a standard pack of playing cards.",standard pack of playing cards میں total cards، suits اور each suit کے cards کی number بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,13.4 Relative Frequency,topic_separator,,,,,,1
q_9_math_ch13_sq_014,1,13.4 Relative Frequency,definition_formula,Define relative frequency and state its formula in terms of a specific frequency and total frequency.,relative frequency کی تعریف کریں اور specific frequency اور total frequency کی terms میں اس کا formula بیان کریں۔,Easy,2,PRO,1
q_9_math_ch13_sq_015,1,13.4 Relative Frequency,explain_reason,Explain why relative frequency is regarded as an estimate of probability.,وضاحت کریں کہ relative frequency کو probability کا estimate کیوں سمجھا جاتا ہے۔,Medium,2,ELITE,1
TOPIC_SEP,1,13.5 Real-Life Application of Relative Frequency,topic_separator,,,,,,1
q_9_math_ch13_sq_016,1,13.5 Real-Life Application of Relative Frequency,application_scenario,State how survey responses are converted into relative frequencies and percentages.,بیان کریں کہ survey responses کو relative frequencies اور percentages میں کیسے convert کیا جاتا ہے۔,Medium,2,ULTRA,1
TOPIC_SEP,1,13.6 Expected Frequency,topic_separator,,,,,,1
q_9_math_ch13_sq_017,1,13.6 Expected Frequency,definition_formula,Define expected frequency and state its relationship with the number of trials and event probability.,expected frequency کی تعریف کریں اور number of trials اور event probability کے ساتھ relationship بیان کریں۔,Hard,2,ELITE,1
TOPIC_SEP,1,13.7 Expected-Frequency Property,topic_separator,,,,,,1
