question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,3.1 Concept of Force and Types of Forces,,,,,,,,1
q_9_phy_ch3_lq_001,,3.1 Concept of Force and Types of Forces,Long,explain,"Explain the concept of force as a push or pull that starts, stops, or changes the magnitude and direction of velocity of a body. Give practical examples.","قوت کے تصور کو دھکیلنے یا کھینچنے کے عمل کے طور پر واضح کریں جو کسی جسم کی ولاسٹی کی مقدار اور سمت کو شروع، بند یا تبدیل کرتی ہے۔ عملی مثالیں بھی دیں۔",Medium,5,high,
q_9_phy_ch3_lq_002,,3.1 Concept of Force and Types of Forces,Long,describe,Describe how force transfers energy to an object using the example of a loaded wheelbarrow.,بھری ہوئی وہیل بارو کی مثال استعمال کرتے ہوئے وضاحت کریں کہ قوت کس طرح کسی جسم کو توانائی منتقل کرتی ہے۔,Medium,5,high,
q_9_phy_ch3_lq_003,,3.1 Concept of Force and Types of Forces,Long,compare,Compare contact forces and non-contact forces with suitable examples.,مناسب مثالوں کے ساتھ تماسی قوتوں اور غیر تماسی قوتوں کا موازنہ کریں۔,Medium,5,high,
q_9_phy_ch3_lq_004,,3.1 Concept of Force and Types of Forces,Long,describe,"Describe friction, drag, thrust, normal force, air resistance, tension force, and elastic force as contact forces.","فرکشن، ڈریگ، تھرسٹ، نارمل فورس، ہوا کی مزاحمت، ٹینشن فورس اور الاسٹک فورس کو تماسی قوتوں کے طور پر بیان کریں۔",Hard,5,high,
q_9_phy_ch3_lq_005,,3.1 Concept of Force and Types of Forces,Long,explain,"Explain gravitational force, electrostatic force, magnetic force, and strong and weak nuclear forces as non-contact forces.","ثقلی قوت، برقی سکونی قوت، مقناطیسی قوت، اور مضبوط و کمزور نیوکلیائی قوتوں کو غیر تماسی قوتوں کے طور پر واضح کریں۔",Hard,5,high,
,1,3.2 Fundamental Forces,,,,,,,,1
q_9_phy_ch3_lq_006,,3.2 Fundamental Forces,Long,state_and_explain,State and explain the four fundamental forces in nature.,فطرت میں پائی جانے والی چار بنیادی قوتیں بیان کریں اور ان کی وضاحت کریں۔,Medium,5,high,
q_9_phy_ch3_lq_007,,3.2 Fundamental Forces,Long,explain,Explain Newton's law of gravitation and write its mathematical form.,نیوٹن کے قانونِ تجاذب کی وضاحت کریں اور اس کی ریاضیاتی صورت لکھیں: F = Gm₁m₂/r²,Medium,5,high,
q_9_phy_ch3_lq_008,,3.2 Fundamental Forces,Long,describe,Describe electromagnetic force and explain why electrostatic and magnetic forces are included in it.,برقی مقناطیسی قوت بیان کریں اور واضح کریں کہ برقی سکونی اور مقناطیسی قوتیں اس میں کیوں شامل ہیں۔,Medium,5,high,
