question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch8_sq_001,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,topic_separator,,,,,1
q_10_eng_ch8_sq_001,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"What are the main causes of pollution in Pakistan, and how do they affect human health and the environment?",Medium,2,ELITE,1
q_10_eng_ch8_sq_002,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,model_paper_direct,How does greenery help reduce pollution and improve the quality of life in cities?,Medium,2,ELITE,1
q_10_eng_ch8_sq_003,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Explain how public awareness and education in schools can play a role in building a cleaner and greener Pakistan.,Medium,2,ELITE,1
q_10_eng_ch8_sq_004,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What actions can individuals and families take in their daily lives to contribute to a pollution-free environment?,Medium,2,ELITE,1
q_10_eng_ch8_sq_005,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"Why is it important to improve public transport systems, and how does this help reduce air pollution?",Medium,2,ELITE,1
q_10_eng_ch8_sq_006,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What are some examples from the essay that show successful environmental efforts already happening in Pakistan?,Medium,2,ELITE,1
q_10_eng_ch8_sq_007,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,"How can communities come together to protect the environment, and what are some activities they can organize?",Medium,2,ELITE,1
q_10_eng_ch8_sq_008,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,What role does the use of renewable energy sources like solar and wind play in reducing pollution?,Medium,2,ELITE,1
q_10_eng_ch8_sq_009,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Direct Textbook Exercise,exercise_direct,Summarize the main message of the essay in your own words and explain why it is important for future generations.,Hard,2,ELITE,1
sep_10_eng_ch8_sq_002,1,ENGLISH_A | Unit 8 - Pollution-Free Pakistan with Greenery All Around | BISE Board Pattern | Q2 Short Questions | Core Lesson,topic_separator,,,,,1
