question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,6.1 Biomolecules,topic_separator,,,,,,1
q_9_bio_ch6_sq_001,1,6.1 Biomolecules,definition_function,Define Biochemistry and state the area or subject it studies.,حیاتی کیمیا کی تعریف کریں اور اس کے مطالعے کا دائرہ بیان کریں۔,Easy,2,PRO,1
q_9_bio_ch6_sq_002,1,6.1 Biomolecules,definition_function,Define Molecular biology and state the area or subject it studies.,سالماتی حیاتیات کی تعریف کریں اور اس کے مطالعے کا دائرہ بیان کریں۔,Easy,2,PRO,1
q_9_bio_ch6_sq_003,1,6.1 Biomolecules,definition_function,"Define Biomolecules and explain why it is associated with molecules produced by organisms, including carbohydrates, proteins, lipids, and nucleic acids.",حیاتی سالمات کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: جانداروں کے بنائے ہوئے molecules جن میں carbohydrates، proteins، lipids اور nucleic acids شامل ہیں,Easy,2,ULTRA,1
TOPIC_SEP,1,6.2 Carbohydrates,topic_separator,,,,,,1
q_9_bio_ch6_sq_004,1,6.2 Carbohydrates,definition_function,Define Carbohydrates and explain why it is associated with organic compounds in which hydrogen and oxygen occur in a 2:1 ratio.,کاربوہائیڈریٹس کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: نامیاتی مرکبات جن میں hydrogen اور oxygen کا تناسب 2:1 ہوتا ہے,Easy,2,ULTRA,1
q_9_bio_ch6_sq_005,1,6.2 Carbohydrates,definition_function,Define Cₙ(H₂O)ₙ and explain why it is associated with the general formula of many carbohydrates.,Cₙ(H₂O)ₙ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: بہت سے carbohydrates کا عمومی فارمولا,Easy,2,ULTRA,1
q_9_bio_ch6_sq_006,1,6.2 Carbohydrates,definition_function,Define Monosaccharide and explain why it is associated with a carbohydrate made of one sugar unit.,مونوسیکرائڈ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: ایک sugar unit سے بنا carbohydrate,Easy,2,ELITE,1
q_9_bio_ch6_sq_007,1,6.2 Carbohydrates,definition_function,Define Disaccharide and explain why it is associated with a carbohydrate made of two monosaccharide units.,ڈسیکرائڈ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: دو monosaccharide units سے بنا carbohydrate,Easy,2,ELITE,1
q_9_bio_ch6_sq_008,1,6.2 Carbohydrates,definition_function,Define Polysaccharide and explain why it is associated with a carbohydrate made of hundreds to thousands of monosaccharide units.,پولی سیکرائڈ کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: سینکڑوں سے ہزاروں monosaccharide units سے بنا carbohydrate,Easy,2,ELITE,1
q_9_bio_ch6_sq_009,1,6.2 Carbohydrates,definition_function,Define Ribose and explain why it is associated with a five-carbon sugar present in RNA.,رائبوز کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: RNA میں موجود پانچ carbon والی sugar,Easy,2,IMPORTANT,1
q_9_bio_ch6_sq_010,1,6.2 Carbohydrates,definition_function,Define Glucose and explain why it is associated with a common six-carbon monosaccharide used as an immediate energy source.,گلوکوز کی تعریف کریں اور وضاحت کریں کہ یہ درج ذیل تصور سے کس طرح متعلق ہے: عام چھ carbon والا monosaccharide جو فوری توانائی کا ذریعہ ہے,Easy,2,IMPORTANT,1
