question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_10_eng_b_q5_001,1,ENGLISH_B | Q5 | PARAGRAPH WRITING,Topic,topic_separator,,,,,1
q_10_eng_b_q5_001,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “My School”.,Medium,15,ELITE,1
q_10_eng_b_q5_002,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “Girl Guides”.,Medium,15,ELITE,1
q_10_eng_b_q5_003,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “A Visit to Museum”.,Medium,15,ELITE,1
q_10_eng_b_q5_004,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “A River in Flood”.,Medium,15,ELITE,1
q_10_eng_b_q5_005,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “A Pleasant Dream”.,Medium,15,ELITE,1
q_10_eng_b_q5_006,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “How to Keep Our Town Clean?”.,Medium,15,ELITE,1
q_10_eng_b_q5_007,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “An Industrial Exhibition”.,Medium,15,ELITE,1
q_10_eng_b_q5_008,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “My Neighbour”.,Medium,15,ELITE,1
q_10_eng_b_q5_009,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,"Write a paragraph of 100-150 words on “Kitchen Gardening, A Hobby”.",Medium,15,ELITE,1
q_10_eng_b_q5_010,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “Pakistani Women”.,Medium,15,ELITE,1
q_10_eng_b_q5_011,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | PARAGRAPH WRITING,Long,paragraph,Write a paragraph of 100-150 words on “Computers”.,Medium,15,ELITE,1
q_10_eng_b_q5_012,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | EXERCISES WITH HINTS,Long,paragraph,Write a paragraph of 100-150 words on “A Fortune-teller”.,Medium,15,ULTRA,1
q_10_eng_b_q5_013,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | EXERCISES WITH HINTS,Long,paragraph,Write a paragraph of 100-150 words on “A Picnic”.,Medium,15,ULTRA,1
q_10_eng_b_q5_014,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | EXERCISES WITH HINTS,Long,paragraph,Write a paragraph of 100-150 words on “A Street Quarrel”.,Medium,15,ULTRA,1
q_10_eng_b_q5_015,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | EXERCISES WITH HINTS,Long,paragraph,Write a paragraph of 100-150 words on “A Visit to a Historical Place”.,Medium,15,ULTRA,1
q_10_eng_b_q5_016,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | EXERCISES WITH HINTS,Long,paragraph,Write a paragraph of 100-150 words on “A Visit to a Zoo”.,Medium,15,ULTRA,1
q_10_eng_b_q5_017,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | EXERCISES WITH HINTS,Long,paragraph,Write a paragraph of 100-150 words on “Allama Iqbal”.,Medium,15,ULTRA,1
q_10_eng_b_q5_018,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | EXERCISES WITH HINTS,Long,paragraph,Write a paragraph of 100-150 words on “The Teacher I Like the Best”.,Medium,15,ULTRA,1
q_10_eng_b_q5_019,1,ENGLISH_B | Q5 | PARAGRAPH WRITING | BOOK | EXERCISES WITH HINTS,Long,paragraph,Write a paragraph of 100-150 words on “A House on Fire”.,Medium,15,ULTRA,1
sep_10_eng_b_q5_002,1,ENGLISH_B | Q5 | ESSAY WRITING,Topic,topic_separator,,,,,1
q_10_eng_b_q5_020,1,ENGLISH_B | Q5 | ESSAY WRITING | BOOK | WRITING AN ESSAY,Long,essay,Write an essay of 150-200 words on “My Last Day at School”.,Medium,15,ELITE,1
q_10_eng_b_q5_021,1,ENGLISH_B | Q5 | ESSAY WRITING | BOOK | WRITING AN ESSAY,Long,essay,Write an essay of 150-200 words on “Sports and Games”.,Medium,15,ELITE,1
q_10_eng_b_q5_022,1,ENGLISH_B | Q5 | ESSAY WRITING | BOOK | WRITING AN ESSAY,Long,essay,Write an essay of 150-200 words on “My House”.,Medium,15,ELITE,1
q_10_eng_b_q5_023,1,ENGLISH_B | Q5 | ESSAY WRITING | BOOK | WRITING AN ESSAY,Long,essay,Write an essay of 150-200 words on “Courtesy”.,Medium,15,ELITE,1
