question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b3_long_001,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | غزوہ تبوک,Long,detailed_question_textbook,غزوہ تبوک پر تفصیلی نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b3_long_002,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حجۃ الوداع,Long,detailed_question_textbook,حجۃ الوداع پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b3_long_003,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | وصال نبوی ﷺ,Long,detailed_question_textbook,وصال نبوی ﷺ پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_10_isl_b3_long_004,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | صلہ رحمی,Long,detailed_question_textbook,صلہ رحمی کی اہمیت پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_10_isl_b3_long_005,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Long,detailed_question_textbook,سیرت طیبہ کی روشنی میں خواتین کے ساتھ حسن سلوک پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_10_isl_b3_long_006,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | انداز تربیت,Long,detailed_question_textbook,نبی کریم ﷺ کے انداز تربیت پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_10_isl_b3_long_007,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | غزوہ تبوک,Long,detailed_question_extra_important,غزوہ تبوک کے اسباب، تیاری، صحابہ کرام رضی اللہ عنہم کی قربانیوں، منافقین کے رویے اور نتائج کی وضاحت کریں۔,Medium,10,ULTRA,1
q_10_isl_b3_long_008,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | حجۃ الوداع,Long,detailed_question_extra_important,خطبہ حجۃ الوداع میں انسانی حقوق، مساوات، خواتین کے حقوق، سود کی حرمت اور قرآن و سنت کی پابندی کی تعلیمات بیان کریں۔,Medium,10,ULTRA,1
q_10_isl_b3_long_009,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | وصال نبوی ﷺ,Long,detailed_question_extra_important,نبی کریم ﷺ کی آخری بیماری، آخری نصائح، حضرت فاطمہ رضی اللہ عنہا سے گفتگو، نماز جنازہ اور تدفین کے واقعات بیان کریں۔,Medium,10,ULTRA,1
q_10_isl_b3_long_010,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | صلہ رحمی,Long,detailed_question_extra_important,صلہ رحمی کے مفہوم، فضیلت، صورتوں، فوائد اور قطع رحمی کے نقصانات کو سیرت طیبہ کی روشنی میں بیان کریں۔,Medium,10,ULTRA,1
q_10_isl_b3_long_011,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | خواتین کے ساتھ حسن سلوک,Long,detailed_question_extra_important,قرآن و سنت اور سیرت نبوی ﷺ کی روشنی میں خواتین، ماؤں، بیٹیوں اور ازواج کے احترام و حقوق کی وضاحت کریں۔,Medium,10,ULTRA,1
q_10_isl_b3_long_012,1,ISLAMIAT | CLASS 10 | BAB 3 - سیرت نبوی ﷺ | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | انداز تربیت,Long,detailed_question_extra_important,نبی کریم ﷺ کے انداز تربیت میں نرمی، حکمت، سوال و جواب، تدرج، حوصلہ افزائی اور مخاطب کے جذبات کے احترام کی وضاحت کریں۔,Medium,10,ULTRA,1
