question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
sep_10_eng_ch4_mcq_001,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Topic,,,,,,,,,,1
q_10_eng_ch4_001,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Main purpose of climate action?,lower bills,reduce food,boost trade,cut emissions,D | cut emissions,Easy,1,ELITE,1
q_10_eng_ch4_002,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,A major cause of climate change?,natural rain,trade growth,fossil fuels,solar panels,C | fossil fuels,Easy,1,ELITE,1
q_10_eng_ch4_003,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Paris Agreement aims to:,raise oil use,limit warming,end trade,stop energy,B | limit warming,Easy,1,ELITE,1
q_10_eng_ch4_004,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Rising temperatures cause:,melting glaciers,higher literacy,more jobs,fewer rains,A | melting glaciers,Easy,1,ELITE,1
q_10_eng_ch4_005,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,Poor countries suffer more because they:,pollute most,benefit most,prepare better,lack resources,D | lack resources,Easy,1,ELITE,1
q_10_eng_ch4_006,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,An example of individual climate action:,more packaging,build highways,public transport,more flights,C | public transport,Easy,1,ELITE,1
q_10_eng_ch4_007,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1 | Direct Textbook Exercise MCQs,Understand,“Global conversation” suggests:,no importance,worldwide concern,scientific debate,youth concern,B | worldwide concern,Easy,1,ELITE,1
sep_10_eng_ch4_mcq_002,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Topic,,,,,,,,,,1
q_10_eng_ch4_008,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“crucial” means:,very important,very weak,hidden cause,private place,A | very important,Medium,1,ELITE,1
q_10_eng_ch4_009,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“disaster” means:,small delay,fixed amount,past event,great calamity,D | great calamity,Medium,1,ELITE,1
q_10_eng_ch4_010,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“disproportionately” means:,short speech,false claim,unequally,old custom,C | unequally,Medium,1,ULTRA,1
q_10_eng_ch4_011,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“disrupt” means:,rapid fall,interrupt,hidden cause,private place,B | interrupt,Medium,1,ULTRA,1
q_10_eng_ch4_012,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“emission” means:,gas release,fixed amount,past event,very weak,A | gas release,Medium,1,ELITE,1
q_10_eng_ch4_013,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“impact” means:,short speech,false claim,small delay,strong effect,D | strong effect,Medium,1,ELITE,1
q_10_eng_ch4_014,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“innovation” means:,rapid fall,old custom,new idea,private place,C | new idea,Medium,1,ULTRA,1
q_10_eng_ch4_015,1,ENGLISH_A | Unit 4 - The Earth: Act Now for Tomorrow | BISE Board Pattern | Q1(c) Correct Meaning | Complete Glossary,Remember,“intense” means:,hidden cause,very strong,past event,very weak,B | very strong,Medium,1,ULTRA,1
