question_hash,active,topic,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_isl_b2_short_001,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),textbook_exercise_direct,ملائکہ کا تعارف بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_002,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),textbook_exercise_direct,فرشتوں کی تخلیق میں حکمت کیا ہے؟,Medium,2,ELITE,1
q_10_isl_b2_short_003,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),textbook_exercise_direct,حضرت جبرئیل علیہ السلام کس کی شکل میں نبی کریم ﷺ کے پاس آئے؟,Medium,2,ELITE,1
q_10_isl_b2_short_004,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),textbook_exercise_direct,فرشتوں کی دو ذمہ داریاں لکھیں۔,Medium,2,ELITE,1
q_10_isl_b2_short_005,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | ملائکہ (فرشتے),textbook_exercise_direct,فرشتوں کی دو خصوصیات لکھیں۔,Medium,2,ELITE,1
q_10_isl_b2_short_006,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,textbook_exercise_direct,آسمانی صحیفوں سے کیا مراد ہے؟,Medium,2,ELITE,1
q_10_isl_b2_short_007,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,textbook_exercise_direct,بنی اسرائیل سے کون لوگ مراد ہیں؟,Medium,2,ELITE,1
q_10_isl_b2_short_008,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,textbook_exercise_direct,حضرت داؤد علیہ السلام کی خصوصیت کیا ہے؟,Medium,2,ELITE,1
q_10_isl_b2_short_009,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,textbook_exercise_direct,کون سے بنیادی عقائد تمام آسمانی کتابوں میں موجود رہے؟,Medium,2,ELITE,1
q_10_isl_b2_short_010,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | کتب سماویہ,textbook_exercise_direct,مشرکین اور اہل کتاب میں کیا فرق ہے؟,Medium,2,ELITE,1
q_10_isl_b2_short_011,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,textbook_exercise_direct,مقام محمود سے کیا مراد ہے؟,Medium,2,ELITE,1
q_10_isl_b2_short_012,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,textbook_exercise_direct,حوض کوثر کے بارے میں مختصر بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_013,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,textbook_exercise_direct,جنت کی نعمتوں کے بارے میں ایک آیت کا ترجمہ لکھیں۔,Medium,2,ELITE,1
q_10_isl_b2_short_014,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,textbook_exercise_direct,میزان سے کیا مراد ہے اور اسے کیوں نصب کیا جائے گا؟,Medium,2,ELITE,1
q_10_isl_b2_short_015,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | عقیدہ آخرت,textbook_exercise_direct,عقیدہ آخرت پر ایمان کے دو تقاضے لکھیں۔,Medium,2,ELITE,1
q_10_isl_b2_short_016,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,textbook_exercise_direct,زکوٰۃ کا معنی و مفہوم بیان کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_017,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,textbook_exercise_direct,نقدی اور مال تجارت پر زکوٰۃ کی شرح تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_018,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,textbook_exercise_direct,حضرت ابوبکر صدیق رضی اللہ عنہ کا زکوٰۃ کی ادائیگی کے بارے میں کیا اعلان تھا؟,Medium,2,ELITE,1
q_10_isl_b2_short_019,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,textbook_exercise_direct,زرعی پیداوار پر عشر کی شرح کیا ہے؟,Medium,2,ELITE,1
q_10_isl_b2_short_020,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | زکوٰۃ,textbook_exercise_direct,زکوٰۃ اور عشر میں فرق واضح کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_021,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,textbook_exercise_direct,حج کے کوئی سے تین مناسک تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_022,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,textbook_exercise_direct,حج و عمرہ کے بارے میں ایک حدیث مبارک تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_023,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,textbook_exercise_direct,قربانی کی استطاعت ہونے کے باوجود قربانی نہ کرنے والے کے لیے کیا ارشاد فرمایا گیا ہے؟,Medium,2,ELITE,1
q_10_isl_b2_short_024,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,textbook_exercise_direct,قربانی کے متعلق تین احکام تحریر کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_025,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXERCISE DIRECT | حج اور قربانی,textbook_exercise_direct,حج بیت اللہ کس طرح مسلمانوں کے باہمی اتحاد و وحدت کو فروغ دیتا ہے؟ وضاحت کریں۔,Medium,2,ELITE,1
q_10_isl_b2_short_026,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,فرشتے کس چیز سے پیدا کیے گئے ہیں؟,Medium,2,ULTRA,1
q_10_isl_b2_short_027,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,حضرت جبرائیل علیہ السلام کی بنیادی ذمہ داری کیا تھی؟,Medium,2,ULTRA,1
q_10_isl_b2_short_028,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,حضرت میکائیل علیہ السلام سے متعلق ذمہ داری بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_029,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,ملک الموت کا کام کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_030,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,کراماً کاتبین کی ذمہ داری کیا ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_031,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,منکر و نکیر کا کام بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_032,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,فرشتوں کی اللہ تعالیٰ کے سامنے اطاعت کی کیفیت بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_033,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,حدیث جبرئیل میں طالب علم کے دو آداب لکھیں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_034,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,حدیث جبرئیل میں استاد کے دو آداب بیان کریں۔,Medium,2,ULTRA,1
q_10_isl_b2_short_035,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | ملائکہ (فرشتے),extra_important_book_derived,حدیث جبرئیل سے اسلام، ایمان اور احسان کی تعلیم کیسے ملتی ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_036,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,صحف ابراہیم سے کیا مراد ہے؟,Medium,2,ULTRA,1
q_10_isl_b2_short_037,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,تورات کس نبی پر نازل ہوئی؟,Medium,2,ULTRA,1
q_10_isl_b2_short_038,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,زبور کس نبی پر نازل ہوئی؟,Medium,2,ULTRA,1
q_10_isl_b2_short_039,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,انجیل کس نبی پر نازل ہوئی؟,Medium,2,ULTRA,1
q_10_isl_b2_short_040,1,ISLAMIAT | CLASS 10 | BAB 2 - ایمانیات و عبادات | BOOK-BASED PAPER GENERATOR | EXTRA IMPORTANT | کتب سماویہ,extra_important_book_derived,قرآن مجید کو آخری آسمانی کتاب کیوں کہا جاتا ہے؟,Medium,2,ULTRA,1
