question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,4.1 Like and Unlike Parallel Forces,topic_separator,,,,,,1
q_9_phy_ch4_sq_001,1,4.1 Like and Unlike Parallel Forces,difference,Differentiate between like and unlike parallel forces and give one example of each.,like اور unlike parallel forces میں فرق بیان کریں اور ہر ایک کی ایک example دیں۔,Easy,2,PRO,1
TOPIC_SEP,1,4.2 Addition of Forces,topic_separator,,,,,,1
q_9_phy_ch4_sq_002,1,4.2 Addition of Forces,definition_function,Define resultant force and state how coplanar force vectors can be added graphically.,resultant force کی تعریف کریں اور بیان کریں کہ coplanar force vectors کو graphically کیسے add کیا جاتا ہے۔,Easy,2,ULTRA,1
q_9_phy_ch4_sq_003,1,4.2 Addition of Forces,process_steps,Describe the head-to-tail procedure for determining the resultant of three forces drawn to scale.,scale پر draw کی گئی three forces کا resultant determine کرنے کے لیے head-to-tail procedure بیان کریں۔,Medium,2,ELITE,1
TOPIC_SEP,1,4.3 Turning Effect of a Force,topic_separator,,,,,,1
q_9_phy_ch4_sq_004,1,4.3 Turning Effect of a Force,definition_example,Define the turning effect of a force and give two daily-life examples.,turning effect of a force کی تعریف کریں اور daily life سے دو examples دیں۔,Easy,2,PRO,1
TOPIC_SEP,1,4.3 Rigid Body and Axis of Rotation,topic_separator,,,,,,1
q_9_phy_ch4_sq_005,1,4.3 Rigid Body and Axis of Rotation,definition_function,Define a rigid body and an axis of rotation.,rigid body اور axis of rotation کی تعریف کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,4.3 Line of Action and Moment Arm,topic_separator,,,,,,1
q_9_phy_ch4_sq_006,1,4.3 Line of Action and Moment Arm,definition_function,Define the line of action and moment arm of a force.,force کی line of action اور moment arm کی تعریف کریں۔,Easy,2,PRO,1
TOPIC_SEP,1,4.3 Moment of Force,topic_separator,,,,,,1
q_9_phy_ch4_sq_007,1,4.3 Moment of Force,definition_formula,Define moment of force or torque and write its mathematical relationship.,moment of force یا torque کی تعریف کریں اور اس کا mathematical relationship لکھیں۔,Easy,2,PRO,1
q_9_phy_ch4_sq_008,1,4.3 Moment of Force,definition_unit,State the SI unit of torque and explain the sign convention for clockwise and anticlockwise torque.,torque کی SI unit بیان کریں اور clockwise اور anticlockwise torque کے لیے sign convention explain کریں۔,Medium,2,ULTRA,1
q_9_phy_ch4_sq_009,1,4.3 Moment of Force,explain_reason,Explain why the torque of a force is zero when its line of action passes through the axis of rotation.,وضاحت کریں کہ force کی line of action axis of rotation سے pass کرے تو torque zero کیوں ہوتی ہے۔,Medium,2,PRO,1
TOPIC_SEP,1,4.3 Couple,topic_separator,,,,,,1
q_9_phy_ch4_sq_010,1,4.3 Couple,definition_example,Define a couple and give two practical examples.,couple کی تعریف کریں اور دو practical examples دیں۔,Easy,2,PRO,1
q_9_phy_ch4_sq_011,1,4.3 Couple,concept_explanation,Explain how two equal and opposite parallel forces can produce rotation without a resultant force.,وضاحت کریں کہ two equal and opposite parallel forces resultant force کے بغیر rotation کیسے produce کرتی ہیں۔,Hard,2,PRO,1
TOPIC_SEP,1,4.4 Resolution of Vectors,topic_separator,,,,,,1
q_9_phy_ch4_sq_012,1,4.4 Resolution of Vectors,definition_function,Define the resolution of a force and state the meaning of rectangular components.,resolution of a force کی تعریف کریں اور rectangular components کا meaning بیان کریں۔,Easy,2,ULTRA,1
TOPIC_SEP,1,4.4 Rectangular Components,topic_separator,,,,,,1
