question_hash,active,topic,question_type,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
sep_9_chem_ch10_001,1,10.1 Composition and Layers of Atmosphere,Topic,topic_separator,,,,,,1
q_9_chem_ch10_lq_001,1,10.1 Composition and Layers of Atmosphere,Long,cause_effect,"Answer the following related questions about Composition and Layers of Atmosphere: (a) Name the blanket of air around Earth Also, Name the gas that is the major component of dry air. | (b) Name the gas that is the second major component of air Also, State the approximate percentage of carbon dioxide in air given. | (c) Why is the atmosphere described as several layers of gases?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) زمین کے گرد ہوا کی چادر کا نام لکھیں۔ نیز، خشک ہوا کا سب سے بڑا جزو کون سی گیس ہے۔؟ | (ب) ہوا کا دوسرا بڑا جزو کون سی گیس ہے۔ نیز، تعداد یا مقدار بیان کریں: ہوا میں کاربن ڈائی آکسائیڈ کی تقریباً کتنی فیصد مقدار دی گئی ہے۔؟ | (ج) فضا کو گیسوں کی کئی تہوں پر مشتمل کیوں کہا جاتا ہے؟,Medium,5,PRO,1
sep_9_chem_ch10_002,1,10.2 Air Pollution and Pollutants,Topic,topic_separator,,,,,,1
q_9_chem_ch10_lq_002,1,10.2 Air Pollution and Pollutants,Long,state_and_explain,"Answer the following related questions about Air Pollution and Pollutants: (a) Define an air pollutant and state one related characteristic or function. | (b) List major air pollutants listed. | (c) State the major human source of many air pollutants Also, Name the gas that is more poisonous, CO or CO₂.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) فضائی آلودہ مادّہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) نام یا شناخت لکھیں: کون سے اہم فضائی آلودہ مادّے درج ہیں۔؟ | (ج) بہت سے فضائی آلودہ مادّوں کا بڑا انسانی ذریعہ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔ نیز، CO اور CO₂ میں کون سی گیس زیادہ زہریلی ہے۔؟,Medium,5,PRO,1
q_9_chem_ch10_lq_003,1,10.2 Air Pollution and Pollutants,Long,cause_effect,Answer the following related questions about Air Pollution and Pollutants: (a) How is particulate matter commonly released into the atmosphere? | (b) Why is carbon monoxide dangerous?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ذراتی مادّہ عموماً فضا میں کیسے خارج ہوتا ہے؟ | (ب) کاربن مونو آکسائیڈ خطرناک کیوں ہے؟,Medium,5,ULTRA,1
q_9_chem_ch10_lq_004,1,10.2 Air Pollution and Pollutants,Long,classification,Answer the following related questions about Air Pollution and Pollutants: (a) Identify the age groups that are identified as especially vulnerable to air pollution State a supporting reason or feature. | (b) Why are high-risk groups more affected by pollution?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) کن عمر کے گروہوں کو فضائی آلودگی کے لیے خاص طور پر حساس قرار دیا گیا ہے۔ شناخت کی بنیاد بھی بیان کریں۔؟ | (ب) زیادہ خطرے والے گروہ آلودگی سے زیادہ متاثر کیوں ہوتے ہیں؟,Easy,5,ELITE,1
sep_9_chem_ch10_003,1,10.3 Acid Rain,Topic,topic_separator,,,,,,1
q_9_chem_ch10_lq_005,1,10.3 Acid Rain,Long,cause_effect,"Answer the following related questions about Acid Rain: (a) Which oxides mainly cause acid rain? Also, State where is acid rain most likely to occur. | (b) How is acid rain formed?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تیزابی بارش بنیادی طور پر کن آکسائیڈز سے بنتی ہے۔ نیز، مقام بیان کریں: تیزابی بارش کہاں ہونے کا امکان زیادہ ہے۔؟ | (ب) تیزابی بارش کیسے بنتی ہے؟,Medium,5,PRO,1
q_9_chem_ch10_lq_006,1,10.3 Acid Rain,Long,cause_effect,Answer the following related questions about Acid Rain: (a) How does acid rain damage forests? | (b) Why does sulphur in fossil fuels become environmentally dangerous during combustion?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) تیزابی بارش جنگلات کو کیسے نقصان پہنچاتی ہے؟ | (ب) فوسل ایندھن میں موجود سلفر جلنے پر ماحولیاتی طور پر خطرناک کیوں بنتا ہے؟,Medium,5,ULTRA,1
sep_9_chem_ch10_004,1,10.4 Greenhouse Effect and Global Warming,Topic,topic_separator,,,,,,1
q_9_chem_ch10_lq_007,1,10.4 Greenhouse Effect and Global Warming,Long,process_procedure,"Answer the following related questions about Greenhouse Effect and Global Warming: (a) Define the greenhouse effect and state one related characteristic or function. | (b) Identify the gases that are emphasized as greenhouse gases in the exercise Also, Which process removes carbon dioxide from the atmosphere?. | (c) Why can a small percentage of CO₂ still affect climate?",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) گرین ہاؤس اثر کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) کن گیسوں کو گرین ہاؤس گیسوں کے طور پر نمایاں کیا گیا ہے۔ نیز، نام یا شناخت لکھیں: کون سا عمل فضا سے کاربن ڈائی آکسائیڈ کم کرتا ہے۔؟ | (ج) CO₂ کی کم فیصد مقدار بھی آب و ہوا کو کیوں متاثر کر سکتی ہے؟,Hard,5,PRO,1
q_9_chem_ch10_lq_008,1,10.4 Greenhouse Effect and Global Warming,Long,cause_effect,Answer the following related questions about Greenhouse Effect and Global Warming: (a) How does deforestation contribute to global warming? | (b) Which renewable energy source uses moving air? State a supporting reason or feature.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) جنگلات کی کٹائی عالمی حدت میں کیسے اضافہ کرتی ہے؟ | (ب) نام یا شناخت لکھیں: کون سا قابلِ تجدید توانائی ذریعہ چلتی ہوا استعمال کرتا ہے۔ شناخت کی بنیاد بھی بیان کریں۔؟,Medium,5,ULTRA,1
q_9_chem_ch10_lq_009,1,10.4 Greenhouse Effect and Global Warming,Long,explain,Answer the following related questions about Greenhouse Effect and Global Warming: (a) How can wind energy help the environment? | (b) Which action would directly reduce greenhouse-gas emissions?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) ہوائی توانائی ماحول کی مدد کیسے کر سکتی ہے؟ | (ب) نام یا شناخت لکھیں: کون سا اقدام براہِ راست گرین ہاؤس گیسوں کے اخراج کو کم کرے گا۔؟,Easy,5,ELITE,1
sep_9_chem_ch10_005,1,10.2 Smog and Photochemical Smog,Topic,topic_separator,,,,,,1
q_9_chem_ch10_lq_010,1,10.2 Smog and Photochemical Smog,Long,state_and_explain,Answer the following related questions about Smog and Photochemical Smog: (a) Define smog and state one related characteristic or function. | (b) Identify the components that are essential for photochemical smog formation.,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) سموگ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ب) فوٹوکیمیکل سموگ کی تشکیل کے لیے کون سے اجزاء ضروری ہیں؟,Easy,5,PRO,1
q_9_chem_ch10_lq_011,1,10.2 Smog and Photochemical Smog,Long,cause_effect,Answer the following related questions about Smog and Photochemical Smog: (a) Why is ordinary smog less noticeable in summer? | (b) Why can winter air quality be worse in large cities?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) عام سموگ گرمیوں میں کم محسوس کیوں ہوتی ہے؟ | (ب) بڑے شہروں میں سردیوں کی ہوا کا معیار زیادہ خراب کیوں ہو سکتا ہے؟,Medium,5,ULTRA,1
sep_9_chem_ch10_006,1,10.5 Control of Air Pollution,Topic,topic_separator,,,,,,1
q_9_chem_ch10_lq_012,1,10.5 Control of Air Pollution,Long,state_and_explain,"Answer the following related questions about Control of Air Pollution: (a) Identify the metals that are used as catalysts in automobile catalytic converters Also, Identify the exhaust substance that remains largely unaffected in a catalytic converter. | (b) Define the purpose of an automobile catalytic converter and state one related characteristic or function. | (c) Write the full form of AQI Also, Which renewable source can be used for heating, cooking and generating electricity?.",درج ذیل متعلقہ سوالات کے جواب دیں: (الف) گاڑیوں کے کیٹالیٹک کنورٹر میں کون سی دھاتیں عمل انگیز کے طور پر استعمال ہوتی ہیں۔ نیز، کیٹالیٹک کنورٹر میں کون سا اخراجی مادّہ بڑی حد تک غیر متاثر رہتا ہے۔؟ | (ب) گاڑی کے کیٹالیٹک کنورٹر کا مقصد کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔؟ | (ج) AQI سے مراد بیان کریں۔ نیز، نام یا شناخت لکھیں: کون سا قابلِ تجدید ذریعہ حرارت، کھانا پکانے اور بجلی بنانے کے لیے استعمال ہو سکتا ہے۔؟,Medium,5,PRO,1
q_9_chem_ch10_lq_013,1,10.5 Control of Air Pollution,Long,cause_effect,Answer the following related questions about Control of Air Pollution: (a) State the information provided by the AQI. | (b) Which strategy best addresses air pollution at its source? | (c) Why is planting trees included among pollution-control strategies?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) AQI کی فراہم کردہ معلومات بیان کریں۔؟ | (ب) نام یا شناخت لکھیں: کون سی حکمتِ عملی فضائی آلودگی کو اس کے منبع پر بہترین طریقے سے کم کرتی ہے۔؟ | (ج) درخت لگانا آلودگی کم کرنے کی حکمتِ عملیوں میں کیوں شامل ہے؟,Medium,5,ULTRA,1
q_9_chem_ch10_lq_014,1,10.5 Control of Air Pollution,Long,cause_effect,Answer the following related questions about Control of Air Pollution: (a) Which combination would most effectively improve urban air quality? | (b) Why does photosynthesis lower atmospheric carbon dioxide?,درج ذیل متعلقہ سوالات کے جواب دیں: (الف) نام یا شناخت لکھیں: کون سا مجموعہ شہری ہوا کے معیار کو سب سے مؤثر بہتر کرے گا۔؟ | (ب) ضیائی تالیف فضا میں کاربن ڈائی آکسائیڈ کیوں کم کرتی ہے؟,Medium,5,ELITE,1
