question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
,1,5.1 Work,,,,,,,,,,,,1
q_9_phy_ch5_001,,5.1 Work,Remember,Work is defined as the product of magnitude of force and which quantity in the direction of force?,کام کی تعریف قوت کی مقدار اور قوت کی سمت میں کس مقدار کے حاصل ضرب کے طور پر کی جاتی ہے؟,Distance / فاصلہ,Time / وقت,Velocity / رفتار,Mass / کمیت,A | Distance / فاصلہ,Easy,1,high,
q_9_phy_ch5_002,,5.1 Work,Remember,Which two quantities are the essential elements of work?,کام کے دو بنیادی اجزا کون سی مقداریں ہیں؟,Mass and velocity / کمیت اور رفتار,Force and distance / قوت اور فاصلہ,Energy and time / توانائی اور وقت,Power and force / طاقت اور قوت,B | Force and distance / قوت اور فاصلہ,Easy,1,high,
q_9_phy_ch5_003,,5.1 Work,Understand,"If a force acts on a body but the body has no displacement, what is the work done?",اگر کسی جسم پر قوت لگے لیکن جسم میں بے دخلی نہ ہو تو کیا کام ہوگا؟,Negative only / صرف منفی,Maximum / زیادہ سے زیادہ,Zero / صفر,Equal to force / قوت کے برابر,C | Zero / صفر,Medium,1,high,
q_9_phy_ch5_004,,5.1 Work,Apply,"When a force F acts through a distance S at an angle θ with the direction of motion, the work done is:",جب قوت F حرکت کی سمت کے ساتھ زاویہ θ بناتے ہوئے فاصلے S تک عمل کرے تو کام کا فارمولا کیا ہوگا؟,F + S / F + S,FS sin θ / FS sin θ,F/S / F/S,FS cos θ / FS cos θ,D | FS cos θ / FS cos θ,Medium,1,high,
q_9_phy_ch5_005,,5.1 Work,Apply,Work done is maximum when the angle between force and displacement is:,قوت اور بے دخلی کے درمیان زاویہ کتنا ہو تو کام زیادہ سے زیادہ ہوتا ہے؟,0° / 0°,30° / 30°,60° / 60°,90° / 90°,A | 0° / 0°,Medium,1,high,
q_9_phy_ch5_006,,5.1 Work,Apply,"If a force is perpendicular to displacement, the work done is:",اگر قوت بے دخلی پر عموداً عمل کرے تو کام کتنا ہوگا؟,FS / FS,Zero / صفر,F/S / F/S,Maximum / زیادہ سے زیادہ,B | Zero / صفر,Medium,1,high,
q_9_phy_ch5_007,,5.1 Work,Analyze,Why is no work done by a person carrying a bag horizontally while applying an upward force?,ایک شخص افقی سمت میں بیگ اٹھا کر چلتا ہے اور قوت اوپر کی طرف لگاتا ہے، اس صورت میں کام کیوں صفر ہوتا ہے؟,Displacement is upward / بے دخلی اوپر کی طرف ہے,Force is equal to displacement / قوت بے دخلی کے برابر ہے,Force is perpendicular to displacement / قوت بے دخلی پر عمود ہے,Mass of bag is zero / بیگ کی کمیت صفر ہے,C | Force is perpendicular to displacement / قوت بے دخلی پر عمود ہے,Hard,1,high,
q_9_phy_ch5_008,,5.1 Work,Remember,"Work does not convey directional information; therefore, it is a:",کام سمت کے بارے میں معلومات نہیں دیتا، اس لیے یہ کون سی مقدار ہے؟,Field force / میدانی قوت,Vector quantity / سمتی مقدار,Fundamental force / بنیادی قوت,Scalar quantity / عددی مقدار,D | Scalar quantity / عددی مقدار,Easy,1,high,
q_9_phy_ch5_009,,5.1 Work,Understand,"In a force-distance graph, the area under the curve represents:",قوت-فاصلہ گراف میں منحنی کے نیچے رقبہ کس چیز کو ظاہر کرتا ہے؟,Work done / کیا گیا کام,Power / طاقت,Velocity / رفتار,Efficiency / کارکردگی,A | Work done / کیا گیا کام,Medium,1,high,
q_9_phy_ch5_010,,5.1 Work,Remember,The SI unit of work is:,کام کی بین الاقوامی اکائی کیا ہے؟,Watt / واٹ,Joule / جول,Newton / نیوٹن,Second / سیکنڈ,B | Joule / جول,Easy,1,high,
q_9_phy_ch5_011,,5.1 Work,Understand,One joule of work is done when a force of one newton moves a body through:,ایک جول کام اس وقت ہوتا ہے جب ایک نیوٹن قوت جسم کو کتنے فاصلے تک اپنی سمت میں حرکت دے؟,One kilogram / ایک کلوگرام,One second / ایک سیکنڈ,One metre / ایک میٹر,One watt / ایک واٹ,C | One metre / ایک میٹر,Medium,1,high,
q_9_phy_ch5_012,,5.1 Work,Understand,A joule can also be written as:,جول کو کس طرح بھی لکھا جا سکتا ہے؟,J s / J s,N s / N s,kg m s⁻¹ / kg m s⁻¹,N m / N m,D | N m / N m,Medium,1,high,
q_9_phy_ch5_013,,5.1 Work,Apply,A person does 200 J of work in pushing a carton through 5 m. How much force is applied?,"درج ذیل صورت میں لگائی گئی قوت معلوم کریں: W = 200 J, S = 5 m",40 N / 40 N,20 N / 20 N,1000 N / 1000 N,205 N / 205 N,A | 40 N / 40 N,Medium,1,high,
q_9_phy_ch5_014,,5.1 Work,Analyze,A 65 N force pulls a suitcase through 20 m at 30° with the horizontal. Which value matches the work done shown in the chapter example?,"درج ذیل صورت میں باب کی مثال کے مطابق کیا گیا کام کون سا ہے: F = 65 N, S = 20 m, θ = 30°",1300 J / 1300 J,1125.8 J / 1125.8 J,650 J / 650 J,20.8 J / 20.8 J,B | 1125.8 J / 1125.8 J,Hard,1,high,
,1,5.2 Energy,,,,,,,,,,,,1
q_9_phy_ch5_015,,5.2 Energy,Remember,Energy is defined as the ability of a body to:,توانائی کی تعریف جسم کی کس صلاحیت کے طور پر کی جاتی ہے؟,Have shape / شکل رکھنا,Have mass / کمیت رکھنا,Do work / کام کرنا,Remain at rest / ساکن رہنا,C | Do work / کام کرنا,Easy,1,high,
q_9_phy_ch5_016,,5.2 Energy,Remember,"Like work, energy is a:",کام کی طرح توانائی بھی کون سی مقدار ہے؟,Non-contact force / غیر رابطہ قوت,Vector quantity / سمتی مقدار,Contact force / رابطہ قوت,Scalar quantity / عددی مقدار,D | Scalar quantity / عددی مقدار,Easy,1,high,
q_9_phy_ch5_017,,5.2 Energy,Remember,The SI unit of energy is:,توانائی کی بین الاقوامی اکائی کیا ہے؟,Joule / جول,Watt / واٹ,Newton / نیوٹن,Metre / میٹر,A | Joule / جول,Easy,1,high,
q_9_phy_ch5_018,,5.2 Energy,Remember,The two basic forms of energy mentioned in the chapter are:,باب میں توانائی کی دو بنیادی اقسام کون سی بیان کی گئی ہیں؟,Heat and light only / صرف حرارت اور روشنی,Kinetic energy and potential energy / حرکی توانائی اور مخفی توانائی,Nuclear and electrical only / صرف جوہری اور برقی,Chemical and sound only / صرف کیمیائی اور صوتی,B | Kinetic energy and potential energy / حرکی توانائی اور مخفی توانائی,Easy,1,high,
q_9_phy_ch5_019,,5.2 Energy,Remember,The combination of kinetic energy and potential energy is called:,حرکی توانائی اور مخفی توانائی کے مجموعے کو کیا کہتے ہیں؟,Nuclear energy / جوہری توانائی,Solar energy / شمسی توانائی,Mechanical energy / میکانی توانائی,Thermal pollution / حرارتی آلودگی,C | Mechanical energy / میکانی توانائی,Easy,1,high,
