question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,5.4 HTML Basic Structure,topic_separator,,,,,,1
q_9_cs_ch5_sq_001,1,5.4 HTML Basic Structure,function_purpose,State the purpose of the <head> tag in HTML and mention one item commonly placed in it.,HTML میں <head> tag کا مقصد بیان کریں اور اس میں رکھا جانے والا ایک common item لکھیں۔,Easy,2,PRO,1
q_9_cs_ch5_sq_002,1,5.4 HTML Basic Structure,function_purpose,State the required function or purpose and explain its importance: What is the purpose of <!DOCTYPE html>?,درج ذیل required function یا purpose بیان کریں اور اس کی اہمیت واضح کریں: <!DOCTYPE html> کا purpose کیا ہے؟,Medium,2,ULTRA,1
q_9_cs_ch5_sq_003,1,5.4 HTML Basic Structure,list_state,Identify the required item or fact and state one related feature or function: Which tag is the root element of an HTML page?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا tag HTML page کا root element ہے؟,Easy,2,PRO,1
q_9_cs_ch5_sq_004,1,5.4 HTML Basic Structure,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is placed inside the <head> section?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: <head> section کے اندر کیا رکھا جاتا ہے؟,Easy,2,ULTRA,1
q_9_cs_ch5_sq_005,1,5.4 HTML Basic Structure,list_state,Identify the required item or fact and state one related feature or function: Which tag sets the text shown on the browser tab?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: کون سا tag browser tab پر دکھائی دینے والا text set کرتا ہے؟,Easy,2,PRO,1
q_9_cs_ch5_sq_006,1,5.4 HTML Basic Structure,list_state,Identify the required item or fact and state one related feature or function: Which section contains the visible content of a web page?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: web page کا visible content کس section میں ہوتا ہے؟,Easy,2,PRO,1
q_9_cs_ch5_sq_007,1,5.4 HTML Basic Structure,definition_function,"Define or identify the required concept and state one key feature, purpose, or example: What is a paired HTML tag?",درج ذیل required concept کی تعریف یا شناخت کریں اور ایک اہم feature، purpose یا example بیان کریں: paired HTML tag کیا ہے؟,Easy,2,ULTRA,1
q_9_cs_ch5_sq_008,1,5.4 HTML Basic Structure,list_state,Identify the required item or fact and state one related feature or function: Which of the following is a singular or self-closing tag?,درج ذیل required item یا fact identify کریں اور ایک متعلقہ feature یا function بیان کریں: درج ذیل میں سے کون singular یا self-closing tag ہے؟,Easy,2,ULTRA,1
TOPIC_SEP,1,5.5 Creating Content with HTML,topic_separator,,,,,,1
q_9_cs_ch5_sq_009,1,5.5 Creating Content with HTML,difference,Differentiate between ordered and unordered lists in HTML and write the tag used for each.,HTML میں ordered اور unordered lists میں فرق لکھیں اور ہر ایک کا tag بیان کریں۔,Medium,2,PRO,1
q_9_cs_ch5_sq_010,1,5.5 Creating Content with HTML,process_steps,Write the correct method for adding a comment in HTML.,HTML میں comment add کرنے کا درست طریقہ لکھیں۔,Easy,2,PRO,1
