question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Topic,,,,,,,,,,0
q_9_eng_ch10_001,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Remember,Choose the correct meaning of [[agility]].,an animal that eats only plants,the ability to move quickly and easily,to keep a particular quality or make sure that something is kept,weak and easily hurt physically or emotionally,B | the ability to move quickly and easily,Easy,1,PRO,0
q_9_eng_ch10_002,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Remember,Choose the correct meaning of [[conservation]].,the traditions and objects that form an important part of a country's character,a small wave on the surface of a liquid,the ability to move quickly and easily,the protection of the natural environment,D | the protection of the natural environment,Easy,1,PRO,0
q_9_eng_ch10_003,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Remember,Choose the correct meaning of [[ecosystem]].,all plants and living creatures in an area considered with their physical environment,extremely attractive and impressive and deserving praise,not level or smooth and having rocks rather than plants or trees,the protection of the natural environment,A | all plants and living creatures in an area considered with their physical environment,Easy,1,PRO,0
q_9_eng_ch10_004,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Remember,Choose the correct meaning of [[elusive]].,an animal that kills and eats other animals,weak and easily hurt physically or emotionally,"difficult to find, define, or achieve",all plants and living creatures in an area considered with their physical environment,"C | difficult to find, define, or achieve",Easy,1,PRO,0
q_9_eng_ch10_005,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Remember,Choose the correct meaning of [[herbivore]].,to keep a particular quality or make sure that something is kept,the ability to move quickly and easily,an animal that eats only plants,"difficult to find, define, or achieve",C | an animal that eats only plants,Easy,1,PRO,0
q_9_eng_ch10_006,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Remember,Choose the correct meaning of [[heritage]].,the traditions and objects that form an important part of a country's character,a small wave on the surface of a liquid,the protection of the natural environment,an animal that eats only plants,A | the traditions and objects that form an important part of a country's character,Easy,1,PRO,0
q_9_eng_ch10_007,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Remember,Choose the correct meaning of [[magnificent]].,not level or smooth and having rocks rather than plants or trees,all plants and living creatures in an area considered with their physical environment,the traditions and objects that form an important part of a country's character,extremely attractive and impressive and deserving praise,D | extremely attractive and impressive and deserving praise,Medium,1,PRO,0
q_9_eng_ch10_008,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Remember,Choose the correct meaning of [[predator]].,weak and easily hurt physically or emotionally,an animal that kills and eats other animals,"difficult to find, define, or achieve",extremely attractive and impressive and deserving praise,B | an animal that kills and eats other animals,Medium,1,PRO,0
q_9_eng_ch10_009,0,ENGLISH_A | Unit 10 - The Silent Predator and the Majestic Prey Snow Leopard and Markhor | Complete Glossary,Remember,Choose the correct meaning of [[preserve]].,to keep a particular quality or make sure that something is kept,the ability to move quickly and easily,an animal that eats only plants,an animal that kills and eats other animals,A | to keep a particular quality or make sure that something is kept,Medium,1,PRO,0
