question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,3.1 Why Do Atoms Form Bonds?,Topic,,,,,,,,,,,1
q_9_chem_ch3_001,1,3.1 Why Do Atoms Form Bonds?,Remember,Why do atoms form chemical bonds?,ایٹم کیمیائی بند کیوں بناتے ہیں؟,To increase the number of nuclei / مرکزوں کی تعداد بڑھانے کے لیے,To attain a more stable electronic configuration / زیادہ مستحکم الیکٹرانی ترتیب حاصل کرنے کے لیے,To remove all valence electrons from every atom / ہر ایٹم سے تمام ظرفی الیکٹران ختم کرنے کے لیے,To change protons into neutrons / پروٹان کو نیوٹران میں بدلنے کے لیے,B | To attain a more stable electronic configuration / زیادہ مستحکم الیکٹرانی ترتیب حاصل کرنے کے لیے,Easy,1,PRO,1
q_9_chem_ch3_002,1,3.1 Why Do Atoms Form Bonds?,Remember,What is the duplet rule?,ڈوپلیٹ قاعدہ کیا ہے؟,Stability through four electrons / چار الیکٹرانوں سے استحکام,Stability through six electrons / چھ الیکٹرانوں سے استحکام,Stability through ten electrons / دس الیکٹرانوں سے استحکام,Stability through two electrons in the outermost shell / بیرونی خول میں دو الیکٹرانوں سے استحکام,D | Stability through two electrons in the outermost shell / بیرونی خول میں دو الیکٹرانوں سے استحکام,Easy,1,ULTRA,1
q_9_chem_ch3_003,1,3.1 Why Do Atoms Form Bonds?,Remember,What is the octet rule?,آکٹیٹ قاعدہ کیا ہے؟,Atoms tend to attain eight electrons in their outermost shell / ایٹم بیرونی خول میں آٹھ الیکٹران حاصل کرنے کی کوشش کرتے ہیں,Atoms must contain eight protons / ایٹم میں آٹھ پروٹان ہونا ضروری ہیں,Every shell holds only eight electrons / ہر خول میں صرف آٹھ الیکٹران ہوتے ہیں,Atoms lose all electrons / ایٹم تمام الیکٹران کھو دیتے ہیں,A | Atoms tend to attain eight electrons in their outermost shell / ایٹم بیرونی خول میں آٹھ الیکٹران حاصل کرنے کی کوشش کرتے ہیں,Easy,1,PRO,1
q_9_chem_ch3_004,1,3.1 Why Do Atoms Form Bonds?,Understand,Which electrons mainly take part in bond formation?,بند بنانے میں بنیادی طور پر کون سے الیکٹران حصہ لیتے ہیں؟,Core neutrons / داخلی نیوٹران,Nuclear protons only / صرف نیوکلیائی پروٹان,Valence electrons / ظرفی الیکٹران,All electrons equally / تمام الیکٹران برابر طور پر,C | Valence electrons / ظرفی الیکٹران,Easy,1,PRO,1
q_9_chem_ch3_005,1,3.1 Why Do Atoms Form Bonds?,Remember,What is a chemical bond?,کیمیائی بند کیا ہے؟,The mass difference between isotopes / آئسوٹوپس کی کمیت کا فرق,The force of attraction that holds atoms together / وہ قوتِ کشش جو ایٹموں کو اکٹھا رکھتی ہے,The space between two shells / دو خولوں کے درمیان جگہ,The heat released by every atom / ہر ایٹم سے خارج ہونے والی حرارت,B | The force of attraction that holds atoms together / وہ قوتِ کشش جو ایٹموں کو اکٹھا رکھتی ہے,Easy,1,PRO,1
TOPIC_SEP,1,3.2 Ionic Bond,Topic,,,,,,,,,,,1
q_9_chem_ch3_006,1,3.2 Ionic Bond,Remember,How is an ionic bond formed?,آئونی بند کیسے بنتا ہے؟,By transfer of one or more electrons / ایک یا زیادہ الیکٹرانوں کی منتقلی سے,By equal sharing of neutrons / نیوٹرانوں کی برابر شراکت سے,By overlap of nuclei / مرکزوں کے باہمی تداخل سے,By transfer of protons / پروٹانوں کی منتقلی سے,A | By transfer of one or more electrons / ایک یا زیادہ الیکٹرانوں کی منتقلی سے,Easy,1,PRO,1
q_9_chem_ch3_007,1,3.2 Ionic Bond,Understand,What happens to a sodium atom during formation of sodium chloride?,سوڈیم کلورائیڈ بننے کے دوران سوڈیم ایٹم کے ساتھ کیا ہوتا ہے؟,It gains one electron and forms Na⁻ / یہ ایک الیکٹران حاصل کر کے Na⁻ بناتا ہے,It gains two electrons / یہ دو الیکٹران حاصل کرتا ہے,It loses one proton / یہ ایک پروٹان کھوتا ہے,It loses one electron and forms Na⁺ / یہ ایک الیکٹران کھو کر Na⁺ بناتا ہے,D | It loses one electron and forms Na⁺ / یہ ایک الیکٹران کھو کر Na⁺ بناتا ہے,Medium,1,PRO,1
q_9_chem_ch3_008,1,3.2 Ionic Bond,Understand,What happens to a chlorine atom during formation of sodium chloride?,سوڈیم کلورائیڈ بننے کے دوران کلورین ایٹم کے ساتھ کیا ہوتا ہے؟,It loses one electron and forms Cl⁺ / یہ ایک الیکٹران کھو کر Cl⁺ بناتا ہے,It gains two protons / یہ دو پروٹان حاصل کرتا ہے,It gains one electron and forms Cl⁻ / یہ ایک الیکٹران حاصل کر کے Cl⁻ بناتا ہے,It remains completely unchanged / یہ مکمل طور پر غیر تبدیل رہتا ہے,C | It gains one electron and forms Cl⁻ / یہ ایک الیکٹران حاصل کر کے Cl⁻ بناتا ہے,Medium,1,PRO,1
