question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
q_9_phy_ch6_sq_001,,6.1 Exercise Short Answer Questions,explain,Why do heavy animals like elephants have a large area of the foot?,ہاتھی جیسے بھاری جانوروں کے پاؤں کا رقبہ زیادہ کیوں ہوتا ہے؟,Medium,2,high,
q_9_phy_ch6_sq_002,,6.1 Exercise Short Answer Questions,explain,Why do fast-running animals like deer have a small area of the foot?,ہرن جیسے تیز دوڑنے والے جانوروں کے پاؤں کا رقبہ کم کیوں ہوتا ہے؟,Medium,2,high,
q_9_phy_ch6_sq_003,,6.1 Exercise Short Answer Questions,explain,Why is it painful to walk bare-footed on pebbles?,کنکریوں پر ننگے پاؤں چلنا تکلیف دہ کیوں ہوتا ہے؟,Medium,2,high,
q_9_phy_ch6_sq_004,,6.1 Exercise Short Answer Questions,state_and_give,State Pascal's law and give one application of Pascal's law.,پاسکل کا قانون بیان کریں اور پاسکل کے قانون کا ایک اطلاق لکھیں۔,Easy,2,high,
q_9_phy_ch6_sq_005,,6.1 Exercise Short Answer Questions,state_and_example,State what is meant by elasticity of a solid and give one example.,ٹھوس کی لچک سے کیا مراد ہے؟ ایک مثال دیں۔,Easy,2,high,
q_9_phy_ch6_sq_006,,6.1 Exercise Short Answer Questions,explain,"What is Hooke's law, and why does an object not remain elastic beyond its elastic limit?",ہک کا قانون کیا ہے، اور کوئی جسم اپنی لچکی حد سے آگے لچک دار کیوں نہیں رہتا؟,Medium,2,high,
q_9_phy_ch6_sq_007,,6.1 Exercise Short Answer Questions,distinguish,Distinguish between force and pressure with their formulas or units.,قوت اور دباؤ میں فرق کریں اور ان کے فارمولے یا اکائیاں لکھیں۔,Medium,2,high,
q_9_phy_ch6_sq_008,,6.1 Exercise Short Answer Questions,state_relation,What is the relationship between liquid pressure and the depth of the liquid?,مایع کے دباؤ اور مائع کی گہرائی کے درمیان کیا تعلق ہے؟,Easy,2,high,
q_9_phy_ch6_sq_009,,6.1 Exercise Short Answer Questions,explain,What basic principle is used to measure atmospheric pressure with a simple mercury barometer?,سادہ مرکری بیرومیٹر سے فضائی دباؤ ناپنے کے لیے کون سا بنیادی اصول استعمال ہوتا ہے؟,Medium,2,high,
q_9_phy_ch6_sq_010,,6.1 Exercise Short Answer Questions,state,State the basic principle used in the hydraulic brake system of automobiles.,گاڑیوں کے ہائیڈرولک بریک نظام میں استعمال ہونے والا بنیادی اصول بیان کریں۔,Easy,2,high,
q_9_phy_ch6_sq_011,,6.1 Deformation of Solids,explain,How can an external force change the size or shape of an object? Give one example.,بیرونی قوت کسی جسم کی جسامت یا شکل کو کیسے بدل سکتی ہے؟ ایک مثال دیں۔,Easy,2,medium,
q_9_phy_ch6_sq_012,,6.1 Deformation of Solids,state_and_example,State what is meant by a deforming force and give one example from a spring or rubber band.,تغیر شکل پیدا کرنے والی قوت سے کیا مراد ہے؟ سپرنگ یا ربڑ بینڈ سے ایک مثال دیں۔,Easy,2,medium,
q_9_phy_ch6_sq_013,,6.1 Deformation of Solids,compare,Compare elastic and inelastic materials with one example of each.,لچک دار اور غیر لچک دار مواد کا موازنہ کریں اور ہر ایک کی ایک مثال دیں۔,Medium,2,high,
