question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_9_isl_b3_long_001,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | فتح مکہ,Long,detailed_question_textbook,فتح مکہ پر تفصیلی نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b3_long_002,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | غزوہ حنین,Long,detailed_question_textbook,غزوہ حنین پر تفصیلی روشنی ڈالیں۔,Medium,10,ELITE,1
q_9_isl_b3_long_003,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | عام الوفود,Long,detailed_question_textbook,وفد نجران کے بارگاہ رسالت میں حاضری کا احوال بیان کریں۔,Medium,10,ELITE,1
q_9_isl_b3_long_004,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | غزوہ تبوک,Long,detailed_question_textbook,غزوہ تبوک پر تفصیلی روشنی ڈالیں۔,Medium,10,ELITE,1
q_9_isl_b3_long_005,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | حجۃ الوداع,Long,detailed_question_textbook,حجۃ الوداع پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b3_long_006,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | وصال نبوی ﷺ,Long,detailed_question_textbook,وصال نبوی ﷺ پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b3_long_007,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | بچپن و جوانی,Long,detailed_question_textbook,نبی کریم ﷺ کی سیرت کی روشنی میں خدمت خلق، عفت و حیا، شجاعت اور حسن معاملات کی وضاحت کریں۔,Medium,10,ELITE,1
q_9_isl_b3_long_008,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | ذوق عبادت,Long,detailed_question_textbook,نبی کریم ﷺ کے ذوق عبادت اور عبادت میں میانہ روی پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b3_long_009,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | سخاوت,Long,detailed_question_textbook,سیرت طیبہ سے سخاوت کو مثالوں سے واضح کریں۔,Medium,10,ELITE,1
q_9_isl_b3_long_010,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | صلہ رحمی,Long,detailed_question_textbook,صلہ رحمی کی اہمیت پر جامع نوٹ لکھیں۔,Medium,10,ELITE,1
q_9_isl_b3_long_011,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | خواتین کے ساتھ حسن سلوک,Long,detailed_question_textbook,سیرت طیبہ کی روشنی میں خواتین کے ساتھ حسن سلوک پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b3_long_012,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXERCISE DIRECT | انداز تربیت,Long,detailed_question_textbook,نبی کریم ﷺ کے انداز تربیت پر جامع نوٹ تحریر کریں۔,Medium,10,ELITE,1
q_9_isl_b3_long_013,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXTRA IMPORTANT | فتح مکہ,Long,detailed_question_extra_important,فتح مکہ کے اسباب، عام معافی، تطہیر کعبہ اور اس کے نتائج تفصیل سے بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b3_long_014,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXTRA IMPORTANT | غزوہ حنین,Long,detailed_question_extra_important,غزوہ حنین کے اسباب، ابتدائی آزمائش، نبی کریم ﷺ کی ثابت قدمی اور نتائج بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b3_long_015,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXTRA IMPORTANT | عام الوفود,Long,detailed_question_extra_important,عام الوفود کی اہمیت اور مختلف وفود کے ساتھ نبی کریم ﷺ کے حسن سلوک کی وضاحت کریں۔,Medium,10,ULTRA,1
q_9_isl_b3_long_016,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXTRA IMPORTANT | غزوہ تبوک,Long,detailed_question_extra_important,غزوہ تبوک کی تیاری، صحابہ کرامؓ کے تعاون، مشکلات اور حاصل ہونے والے اسباق بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b3_long_017,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXTRA IMPORTANT | حجۃ الوداع,Long,detailed_question_extra_important,خطبہ حجۃ الوداع میں انسانی حقوق، مساوات، عورتوں کے حقوق اور سود کے خاتمے کی تعلیمات بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b3_long_018,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXTRA IMPORTANT | وصال نبوی ﷺ,Long,detailed_question_extra_important,نبی کریم ﷺ کی آخری بیماری، آخری نصائح اور وصال کے واقعات تفصیل سے بیان کریں۔,Medium,10,ULTRA,1
q_9_isl_b3_long_019,1,ISLAMIAT | BAB 3 - سیرت نبوی ﷺ | BISE-ALIGNED PREPARATION | Q7 ELIGIBLE | EXTRA IMPORTANT | بچپن و جوانی,Long,detailed_question_extra_important,نبی کریم ﷺ کے بچپن اور جوانی کے نمایاں اوصاف اور واقعات سے حاصل ہونے والے اسباق بیان کریں۔,Medium,10,ULTRA,1
