question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_ch4_001,1,ENGLISH_A | Unit 4 - Hazrat Asma | Textbook Paragraph Translation,Topic,topic_separator,,,,,1
q_9_eng_ch4_lq_001,1,ENGLISH_A | Unit 4 - Hazrat Asma | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The Rasoolullah ﷺ and his close companion, Hazrat Abu Bakr Siddique رضی اللہ تعالیٰ عنہ, migrated from Makkah Mukarramah to Madinah Munawwarah in the year 622 A.D. When the chiefs of various tribes learned about the migration, they became furious and offered huge rewards for their capture.",Medium,4,PRO,1
q_9_eng_ch4_lq_002,1,ENGLISH_A | Unit 4 - Hazrat Asma | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
The preparation for the journey was made at Hazrat Abu Bakr Siddique's house. Hazrat Asma rendered useful services by preparing food for the journey. She tied the food on the camel's back with her own belt, and the Rasoolullah ﷺ gave her the title of Zaat-un-Nitaqain.",Medium,4,PRO,1
q_9_eng_ch4_lq_003,1,ENGLISH_A | Unit 4 - Hazrat Asma | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
During the perilous journey, it was very difficult for anyone to supply food to the Rasoolullah ﷺ. The slightest mistake could have endangered his life. Hazrat Asma undertook this grand task and ventured quietly every night towards the rugged mountains where the cave of Thawr was located.",Hard,4,PRO,1
q_9_eng_ch4_lq_004,1,ENGLISH_A | Unit 4 - Hazrat Asma | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Abu Jahl demanded to know where Hazrat Asma's father was. She politely replied with a counter-question and gave him no clue. He became infuriated and slapped her so hard that her ear-ring fell off, but she remained steadfast and did not reveal the secret.",Hard,4,PRO,1
q_9_eng_ch4_lq_005,1,ENGLISH_A | Unit 4 - Hazrat Asma | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Hazrat Abu Quhafa was very old and blind. He feared that Hazrat Abu Bakr had taken all the wealth and left the family helpless. Hazrat Asma placed pebbles where the money and jewels had been kept, covered them with a cloth, and reassured her grandfather.",Hard,4,PRO,1
q_9_eng_ch4_lq_006,1,ENGLISH_A | Unit 4 - Hazrat Asma | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Hazrat Asma was among the early people who accepted Islam. She was the daughter of Hazrat Abu Bakr Siddique and the stepsister of Hazrat Ayesha Siddiqah. She was the wife of Hazrat Zubair bin al-Awwam and the mother of Hazrat Abdullah bin Zubair.",Medium,4,PRO,1
q_9_eng_ch4_lq_007,1,ENGLISH_A | Unit 4 - Hazrat Asma | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Hazrat Asma was so generous that she sold her inherited garden and gave all the money to the poor and needy. Nobody ever returned empty-handed from her doorstep. She will always be remembered for her courage, generosity, wisdom, and resolute faith in Allah.",Medium,4,PRO,1
sep_9_eng_ch4_002,1,ENGLISH_A | Unit 4 - Hazrat Asma | Simple English Alternative,Topic,topic_separator,,,,,1
q_9_eng_ch4_lq_008,1,ENGLISH_A | Unit 4 - Hazrat Asma | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
The Rasoolullah ﷺ and his close companion, Hazrat Abu Bakr Siddique رضی اللہ تعالیٰ عنہ, migrated from Makkah Mukarramah to Madinah Munawwarah in the year 622 A.D. When the chiefs of various tribes learned about the migration, they became furious and offered huge rewards for their capture.",Medium,4,PRO,1
q_9_eng_ch4_lq_009,1,ENGLISH_A | Unit 4 - Hazrat Asma | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
The preparation for the journey was made at Hazrat Abu Bakr Siddique's house. Hazrat Asma rendered useful services by preparing food for the journey. She tied the food on the camel's back with her own belt, and the Rasoolullah ﷺ gave her the title of Zaat-un-Nitaqain.",Medium,4,PRO,1
q_9_eng_ch4_lq_010,1,ENGLISH_A | Unit 4 - Hazrat Asma | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
During the perilous journey, it was very difficult for anyone to supply food to the Rasoolullah ﷺ. The slightest mistake could have endangered his life. Hazrat Asma undertook this grand task and ventured quietly every night towards the rugged mountains where the cave of Thawr was located.",Hard,4,PRO,1
q_9_eng_ch4_lq_011,1,ENGLISH_A | Unit 4 - Hazrat Asma | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Abu Jahl demanded to know where Hazrat Asma's father was. She politely replied with a counter-question and gave him no clue. He became infuriated and slapped her so hard that her ear-ring fell off, but she remained steadfast and did not reveal the secret.",Hard,4,PRO,1
q_9_eng_ch4_lq_012,1,ENGLISH_A | Unit 4 - Hazrat Asma | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Hazrat Abu Quhafa was very old and blind. He feared that Hazrat Abu Bakr had taken all the wealth and left the family helpless. Hazrat Asma placed pebbles where the money and jewels had been kept, covered them with a cloth, and reassured her grandfather.",Hard,4,PRO,1
