question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
,1,8.1 Magnetic Materials,,,,,,,1
q_9_phy_ch8_sq_001,,8.1 Magnetic Materials,state,State what is meant by magnetic materials and give two examples.,مقناطیسی مادّوں سے کیا مراد ہے؟ دو مثالیں دیں۔,Easy,2,high,
q_9_phy_ch8_sq_002,,8.1 Magnetic Materials,differentiate,Differentiate between magnetic and non-magnetic materials with examples.,مقناطیسی اور غیر مقناطیسی مادّوں میں مثالوں کے ساتھ فرق بیان کریں۔,Medium,2,high,
q_9_phy_ch8_sq_003,,8.1 Magnetic Materials,explain,Explain how a magnet can attract iron filings without direct contact.,وضاحت کریں کہ مقناطیس براہِ راست چھوئے بغیر لوہے کے برادے کو کیسے کھینچ سکتا ہے۔,Medium,2,medium,
q_9_phy_ch8_sq_004,,8.1 Magnetic Materials,state,State the unique property of lodestone that led to the development of the compass.,لوڈ اسٹون کی وہ منفرد خاصیت بیان کریں جس سے قطب نما کی بنیاد بنی۔,Easy,2,medium,
,1,8.2 Properties of Magnets,,,,,,,1
q_9_phy_ch8_sq_005,,8.2 Properties of Magnets,state,State the two poles of a bar magnet and mention the directions they point when freely suspended.,بار مقناطیس کے دو قطب بیان کریں اور بتائیں کہ آزادانہ لٹکانے پر وہ کن سمتوں کی طرف اشارہ کرتے ہیں۔,Easy,2,high,
q_9_phy_ch8_sq_006,,8.2 Properties of Magnets,explain,Explain the attraction and repulsion of magnetic poles with one example of each.,مقناطیسی قطبوں کی کشش اور دفع کو ہر ایک کی ایک مثال کے ساتھ واضح کریں۔,Easy,2,high,
q_9_phy_ch8_sq_007,,8.2 Properties of Magnets,justify,Why is repulsion called the real test for identifying a magnet?,دفع کو مقناطیس کی شناخت کا اصل امتحان کیوں کہا جاتا ہے؟,Hard,2,high,
q_9_phy_ch8_sq_008,,8.2 Properties of Magnets,explain,Explain why an isolated north pole or south pole cannot be obtained by breaking a magnet.,وضاحت کریں کہ مقناطیس کو توڑنے سے الگ شمالی قطب یا جنوبی قطب کیوں حاصل نہیں کیا جا سکتا۔,Medium,2,high,
,1,8.3 Induced Magnetism,,,,,,,1
q_9_phy_ch8_sq_009,,8.3 Induced Magnetism,explain,Explain induced magnetism in an iron nail placed near a pole of a bar magnet.,بار مقناطیس کے قطب کے قریب رکھے گئے لوہے کے کیل میں القائی مقناطیسیت کی وضاحت کریں۔,Medium,2,high,
q_9_phy_ch8_sq_010,,8.3 Induced Magnetism,state,State what happens to induced magnetism when the true magnet is removed.,جب اصل مقناطیس ہٹا دیا جائے تو القائی مقناطیسیت کے ساتھ کیا ہوتا ہے؟,Easy,2,medium,
q_9_phy_ch8_sq_011,,8.3 Induced Magnetism,analyze,"If the S-pole of a magnet touches the head of an iron nail, which type of pole is induced at the near end and why?",اگر مقناطیس کا S-pole لوہے کے کیل کے سرے کو چھوئے تو قریبی سرے پر کون سا قطب پیدا ہوتا ہے اور کیوں؟,Hard,2,high,
q_9_phy_ch8_sq_012,,8.3 Induced Magnetism,describe,Describe a simple compass activity that shows induced magnetism in an iron nail.,قطب نما کی ایک سادہ سرگرمی بیان کریں جو لوہے کے کیل میں القائی مقناطیسیت ظاہر کرتی ہے۔,Medium,2,medium,
,1,8.4 Temporary and Permanent Magnets,,,,,,,1
q_9_phy_ch8_sq_013,,8.4 Temporary and Permanent Magnets,compare,Compare temporary and permanent magnets in terms of how long they retain magnetism.,عارضی اور مستقل مقناطیسوں کا موازنہ کریں کہ وہ مقناطیسیت کتنی دیر تک برقرار رکھتے ہیں۔,Medium,2,high,
q_9_phy_ch8_sq_014,,8.4 Temporary and Permanent Magnets,state,State why soft iron is usually used to make temporary magnets.,بیان کریں کہ عارضی مقناطیس بنانے کے لیے عموماً نرم لوہا کیوں استعمال کیا جاتا ہے۔,Easy,2,high,
q_9_phy_ch8_sq_015,,8.4 Temporary and Permanent Magnets,state,Name two objects that can easily be made temporary magnets.,دو اشیا کے نام لکھیں جنہیں آسانی سے عارضی مقناطیس بنایا جا سکتا ہے۔,Easy,2,medium,
q_9_phy_ch8_sq_016,,8.4 Temporary and Permanent Magnets,explain,Explain why steel nails can retain magnetism longer than iron nails after contact with a magnet.,وضاحت کریں کہ مقناطیس سے رابطے کے بعد فولادی کیل لوہے کے کیل کی نسبت مقناطیسیت زیادہ دیر تک کیوں برقرار رکھتے ہیں۔,Hard,2,high,
,1,8.5 Magnetic Fields and Lines of Force,,,,,,,1
