question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,7.1 Introduction to Artificial Intelligence (AI),Topic,,,,,,,,,,,1
q_9_cs_ch7_001,1,7.1 Introduction to Artificial Intelligence (AI),Remember,What is Artificial Intelligence (AI)?,Artificial Intelligence (AI) کیا ہے؟,The physical repair of computers / computers کی physical repair,The simulation of human thinking and learning in computer systems / computer systems میں human thinking اور learning کی simulation,A method of storing files on paper / files کو paper پر store کرنے کا method,A type of network cable / network cable کی ایک type,B | The simulation of human thinking and learning in computer systems / computer systems میں human thinking اور learning کی simulation,Easy,1,PRO,1
q_9_cs_ch7_002,1,7.1 Introduction to Artificial Intelligence (AI),Remember,What was the name of the first AI program mentioned in the chapter?,chapter میں mentioned first AI program کا name کیا تھا؟,Deep Blue Network,Smart Sensor,Cloud Logic,Logic Theorist,D | Logic Theorist,Easy,1,ELITE,1
q_9_cs_ch7_003,1,7.1 Introduction to Artificial Intelligence (AI),Remember,Who created the Logic Theorist in 1955?,1955 میں Logic Theorist کس نے create کیا؟,Allen Newell and Herbert A. Simon / Allen Newell اور Herbert A. Simon,Kevin Ashton and Tim Berners-Lee / Kevin Ashton اور Tim Berners-Lee,Bill Gates and Steve Jobs / Bill Gates اور Steve Jobs,Charles Babbage and Ada Lovelace / Charles Babbage اور Ada Lovelace,A | Allen Newell and Herbert A. Simon / Allen Newell اور Herbert A. Simon,Medium,1,ELITE,1
q_9_cs_ch7_004,1,7.1 Introduction to Artificial Intelligence (AI),Remember,Which AI application helps diagnose diseases and personalize treatment plans?,کون سی AI application diseases diagnose اور treatment plans personalize کرنے میں مدد دیتی ہے؟,AI in web page colouring / web page colouring میں AI,AI in cable labelling / cable labelling میں AI,AI in healthcare / healthcare میں AI,AI in printer cartridge design only / صرف printer cartridge design میں AI,C | AI in healthcare / healthcare میں AI,Easy,1,PRO,1
q_9_cs_ch7_005,1,7.1 Introduction to Artificial Intelligence (AI),Understand,How is AI used in education?,education میں AI کیسے use ہوتی ہے؟,It removes all teachers automatically / یہ تمام teachers کو automatically remove کرتی ہے,It only changes classroom colours / یہ صرف classroom colours change کرتی ہے,It provides personalized learning and insights into student performance / یہ personalized learning اور student performance insights provide کرتی ہے,It prevents students from using computers / یہ students کو computers use کرنے سے روکتی ہے,C | It provides personalized learning and insights into student performance / یہ personalized learning اور student performance insights provide کرتی ہے,Medium,1,PRO,1
q_9_cs_ch7_006,1,7.1 Introduction to Artificial Intelligence (AI),Remember,Which domain uses AI to create realistic characters and improve player experience?,کون سا domain realistic characters create اور player experience improve کرنے کے لیے AI use کرتا ہے؟,Gaming / gaming,Data cabling / data cabling,Book printing / book printing,Manual filing / manual filing,A | Gaming / gaming,Easy,1,ULTRA,1
q_9_cs_ch7_007,1,7.1 Introduction to Artificial Intelligence (AI),Remember,Which transportation technology relies on AI?,کون سی transportation technology AI پر rely کرتی ہے؟,Paper timetables only / صرف paper timetables,Manual bicycle locks / manual bicycle locks,Printed road maps only / صرف printed road maps,Self-driving cars / self-driving cars,D | Self-driving cars / self-driving cars,Easy,1,PRO,1
q_9_cs_ch7_008,1,7.1 Introduction to Artificial Intelligence (AI),Understand,Which finance task can be supported by AI?,finance کا کون سا task AI support کر سکتی ہے؟,Replacing all bank accounts with paper / تمام bank accounts کو paper سے replace کرنا,Fraud detection and risk assessment / fraud detection اور risk assessment,Removing all investment data / تمام investment data remove کرنا,Disabling financial decisions / financial decisions disable کرنا,B | Fraud detection and risk assessment / fraud detection اور risk assessment,Medium,1,ULTRA,1
q_9_cs_ch7_009,1,7.1 Introduction to Artificial Intelligence (AI),Remember,Which social-media function is powered by AI?,social media کا کون سا function AI سے powered ہوتا ہے؟,Physical cable installation / physical cable installation,Personalized content recommendations / personalized content recommendations,Ink cartridge replacement / ink cartridge replacement,Manual page numbering / manual page numbering,B | Personalized content recommendations / personalized content recommendations,Easy,1,ULTRA,1
