question_hash,active,topic,bloom_level,question,urdu_translation,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,2.1 Basic Concept of Digital Systems,Topic,,,,,,,,,,,1
q_9_cs_ch2_001,1,2.1 Basic Concept of Digital Systems,Remember,Which values are used by digital systems to represent information?,digital systems information کو represent کرنے کے لیے کون سی values استعمال کرتے ہیں؟,0 to 7 / 0 سے 7,0 and 1 / 0 اور 1,Continuous values only / صرف continuous values,Letters A to F only / صرف A سے F letters,B | 0 and 1 / 0 اور 1,Easy,1,PRO,1
q_9_cs_ch2_002,1,2.1 Basic Concept of Digital Systems,Understand,How does an analog signal change with time?,analog signal وقت کے ساتھ کس طرح change ہوتا ہے؟,Only between 0 and 1 / صرف 0 اور 1 کے درمیان,In fixed text characters / fixed text characters میں,Only once per second / صرف ایک بار فی second,Smoothly and continuously / smoothly اور continuously,D | Smoothly and continuously / smoothly اور continuously,Easy,1,ULTRA,1
q_9_cs_ch2_003,1,2.1 Basic Concept of Digital Systems,Remember,Which of the following is an example of an analog signal?,درج ذیل میں سے کون analog signal کی مثال ہے؟,Voice signal / آواز کا signal,Binary data in a computer / کمپیوٹر میں binary data,A Boolean truth table / Boolean truth table,A digital file name / digital file name,A | Voice signal / آواز کا signal,Easy,1,ELITE,1
q_9_cs_ch2_004,1,2.1 Basic Concept of Digital Systems,Remember,What is the purpose of an ADC?,ADC کا مقصد کیا ہے؟,To convert digital signals into sound only / digital signals کو صرف sound میں بدلنا,To simplify Boolean expressions / Boolean expressions کو simplify کرنا,To convert an analog signal into a digital signal / analog signal کو digital signal میں convert کرنا,To back up computer data / computer data کا backup بنانا,C | To convert an analog signal into a digital signal / analog signal کو digital signal میں convert کرنا,Easy,1,PRO,1
q_9_cs_ch2_005,1,2.1 Basic Concept of Digital Systems,Remember,What is the purpose of a DAC?,DAC کا مقصد کیا ہے؟,To convert analog signals into binary data / analog signals کو binary data میں convert کرنا,To detect RAM failure / RAM failure detect کرنا,To convert a digital signal into an analog signal / digital signal کو analog signal میں convert کرنا,To create a truth table / truth table بنانا,C | To convert a digital signal into an analog signal / digital signal کو analog signal میں convert کرنا,Easy,1,PRO,1
q_9_cs_ch2_006,1,2.1 Basic Concept of Digital Systems,Understand,Why are digital signals suitable for long-distance transmission and storage?,digital signals long-distance transmission اور storage کے لیے موزوں کیوں ہیں؟,They are less affected by noise and signal degradation / وہ noise اور signal degradation سے کم متاثر ہوتے ہیں,They can have infinitely many values / ان کی infinitely many values ہو سکتی ہیں,They do not require any device / انہیں کسی device کی ضرورت نہیں,They are always audible to humans / وہ ہمیشہ انسانوں کو سنائی دیتے ہیں,A | They are less affected by noise and signal degradation / وہ noise اور signal degradation سے کم متاثر ہوتے ہیں,Medium,1,ULTRA,1
TOPIC_SEP,1,2.2 Boolean Algebra and Logic Gates,Topic,,,,,,,,,,,1
q_9_cs_ch2_007,1,2.2 Boolean Algebra and Logic Gates,Remember,Boolean algebra mainly uses which two logical values?,Boolean algebra بنیادی طور پر کون سی دو logical values استعمال کرتا ہے؟,High and Medium / High اور Medium,Positive and Neutral / Positive اور Neutral,Text and Image / Text اور Image,True and False / True اور False,D | True and False / True اور False,Easy,1,PRO,1
q_9_cs_ch2_008,1,2.2 Boolean Algebra and Logic Gates,Remember,Which symbol is used for the AND operation in the chapter?,chapter میں AND operation کے لیے کون سا symbol استعمال ہوا ہے؟,A plus sign (+) / plus sign (+),A dot (·) / dot (·),A bar only / صرف bar,A division sign (÷) / division sign (÷),B | A dot (·) / dot (·),Easy,1,ULTRA,1
