question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
sep_9_eng_ch5_001,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Textbook Paragraph Translation,Topic,topic_separator,,,,,0
q_9_eng_ch5_lq_001,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Entrepreneurship refers to the process of starting, managing, and growing a business venture. Entrepreneurs identify opportunities, take calculated risks, and bring innovative ideas to life. They create products or services to meet market demands, solve problems, and contribute to economic growth.",Medium,4,PRO,0
q_9_eng_ch5_lq_002,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Hazrat Khadija رضی اللہ تعالیٰ عنہا was a prominent businesswoman from Makkah Mukarramah. She was one of the wealthiest individuals of her time and was known for her wisdom, integrity, and leadership in managing a thriving trading business across various regions.",Medium,4,PRO,0
q_9_eng_ch5_lq_003,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Women entrepreneurs in modern Pakistan are active in fashion, technology, food, education, and crafts. Women-led businesses have become more visible, and many female entrepreneurs are finding success through determination, innovation, and the support of training and mentorship programmes.",Medium,4,PRO,0
q_9_eng_ch5_lq_004,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Many women face cultural expectations, limited access to resources, mobility issues, legal barriers, and a lack of support networks. These constraints can make entrepreneurship difficult, especially in rural areas, but strong networks and digital platforms are helping women overcome them.",Medium,4,PRO,0
q_9_eng_ch5_lq_005,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Textbook Paragraph Translation,Long,translate_to_urdu,"Translate the following paragraph into Urdu:
Women entrepreneurs contribute to economic growth by creating jobs, generating income, and boosting productivity. They also serve as role models, support community development, challenge gender stereotypes, and bring innovative solutions to social and economic problems.",Medium,4,PRO,0
sep_9_eng_ch5_002,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Simple English Alternative,Topic,topic_separator,,,,,0
q_9_eng_ch5_lq_006,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Entrepreneurship refers to the process of starting, managing, and growing a business venture. Entrepreneurs identify opportunities, take calculated risks, and bring innovative ideas to life. They create products or services to meet market demands, solve problems, and contribute to economic growth.",Hard,4,PRO,0
q_9_eng_ch5_lq_007,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Hazrat Khadija رضی اللہ تعالیٰ عنہا was a prominent businesswoman from Makkah Mukarramah. She was one of the wealthiest individuals of her time and was known for her wisdom, integrity, and leadership in managing a thriving trading business across various regions.",Hard,4,PRO,0
q_9_eng_ch5_lq_008,0,ENGLISH_A | Unit 5 - Women Empowerment through Entrepreneurship | Simple English Alternative,Long,rewrite_simple_english,"Rewrite the following paragraph in simple English:
Women entrepreneurs in modern Pakistan are active in fashion, technology, food, education, and crafts. Women-led businesses have become more visible, and many female entrepreneurs are finding success through determination, innovation, and the support of training and mentorship programmes.",Hard,4,PRO,0
