question_hash,active,topic,question_style,question,urdu_translation,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,11.0 Introduction to Organic Chemistry,topic_separator,,,,,,1
q_9_chem_ch11_sq_001,1,11.0 Introduction to Organic Chemistry,list_state,(a) State the main class of compounds studied in organic chemistry. (b) Identify the atom that is almost always present with carbon in organic compounds.,(الف) نامیاتی کیمیا بنیادی طور پر کن مرکبات کی کیمیا ہے۔ (ب) نامیاتی مرکبات میں کاربن کے ساتھ تقریباً ہمیشہ کون سا ایٹم موجود ہوتا ہے۔,Easy,2,PRO,1
q_9_chem_ch11_sq_002,1,11.0 Introduction to Organic Chemistry,list_state,Identify the carbon compounds that are classified as inorganic.,کاربن کے کن مرکبات کو غیر نامیاتی شمار کیا گیا ہے؟,Medium,2,ULTRA,1
q_9_chem_ch11_sq_003,1,11.0 Introduction to Organic Chemistry,explain_reason,Why does carbon usually form covalent rather than ionic bonds?,کاربن عموماً آیونی بند کے بجائے اشتراکی بند کیوں بناتا ہے؟,Medium,2,PRO,1
q_9_chem_ch11_sq_004,1,11.0 Introduction to Organic Chemistry,definition_function,Define catenation and state one related characteristic or function.,کیٹینیشن کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch11_sq_005,1,11.0 Introduction to Organic Chemistry,list_state,State the two properties chiefly allow carbon to form many stable compounds Also state one supporting reason or feature.,نام یا شناخت لکھیں: کون سی دو خصوصیات کاربن کو بہت سے مستحکم مرکبات بنانے کے قابل بناتی ہیں۔ شناخت کی بنیاد بھی بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch11_sq_006,1,11.0 Introduction to Organic Chemistry,formula_relationship,State what a structural formula shows.,بیان کریں کہ ساختی فارمولا کیا ظاہر کرتا ہے۔,Easy,2,ULTRA,1
q_9_chem_ch11_sq_007,1,11.0 Introduction to Organic Chemistry,explain_reason,Why are organic molecules often described as large and complex?,نامیاتی سالمات کو اکثر بڑا اور پیچیدہ کیوں کہا جاتا ہے؟,Medium,2,ELITE,1
TOPIC_SEP,1,11.1 Hydrocarbons,topic_separator,,,,,,1
q_9_chem_ch11_sq_008,1,11.1 Hydrocarbons,definition_function,Define or describe hydrocarbons and state one related characteristic.,ہائیڈروکاربنز کی تعریف یا وضاحت کریں۔,Easy,2,PRO,1
q_9_chem_ch11_sq_009,1,11.1 Hydrocarbons,classification,Identify the group that contains common hydrocarbon fuels.,نام یا شناخت لکھیں: کون سا گروہ عام ہائیڈروکاربن ایندھن پر مشتمل ہے۔,Easy,2,ULTRA,1
q_9_chem_ch11_sq_010,1,11.1 Hydrocarbons,concept_explanation,State two important roles of hydrocarbons besides their use as fuels.,ایندھن کے علاوہ ہائیڈروکاربنز کا اہم کردار بیان کریں۔,Medium,2,ELITE,1
q_9_chem_ch11_sq_011,1,11.1 Hydrocarbons,classification,Into which structural types are hydrocarbons classified?,ہائیڈروکاربنز کو کن ساختی اقسام میں تقسیم کیا گیا ہے؟,Medium,2,ULTRA,1
q_9_chem_ch11_sq_012,1,11.1 Hydrocarbons,list_state,(a) Identify the hydrocarbon family that is discussed in detail (b) Name the simplest alkane and write one defining feature.,(الف) ہائیڈروکاربنز کے کس خاندان پر تفصیل سے بحث کی گئی ہے۔ (ب) سب سے سادہ الکین کون سا ہے۔,Easy,2,PRO,1
q_9_chem_ch11_sq_013,1,11.1 Hydrocarbons,concept_explanation,Methane is used to manufacture which listed substances?,میتھین سے کون سے درج شدہ مادّے تیار کیے جاتے ہیں؟,Medium,2,IMPORTANT,1
TOPIC_SEP,1,11.2 Alkanes and IUPAC Nomenclature,topic_separator,,,,,,1
q_9_chem_ch11_sq_014,1,11.2 Alkanes and IUPAC Nomenclature,explain_reason,Why are alkanes called saturated hydrocarbons?,الکینز کو سیر شدہ ہائیڈروکاربنز کیوں کہا جاتا ہے؟,Easy,2,PRO,1
q_9_chem_ch11_sq_015,1,11.2 Alkanes and IUPAC Nomenclature,list_state,(a) Define the general formula of alkanes and state one related characteristic or function (b) What does the suffix in an IUPAC name indicate?.,(الف) الکینز کا عمومی فارمولا لکھیں۔ (ب) بیان کریں کہ IUPAC نام میں لاحقہ کیا ظاہر کرتا ہے۔,Easy,2,PRO,1
q_9_chem_ch11_sq_016,1,11.2 Alkanes and IUPAC Nomenclature,explain_reason,Why is methane called the parent hydrocarbon?,میتھین کو بنیادی ہائیڈروکاربن کیوں کہا جاتا ہے؟,Easy,2,ULTRA,1
q_9_chem_ch11_sq_017,1,11.2 Alkanes and IUPAC Nomenclature,concept_explanation,What does the root in an IUPAC name indicate?,بیان کریں کہ IUPAC نام میں روٹ کیا ظاہر کرتا ہے۔,Easy,2,PRO,1
q_9_chem_ch11_sq_018,1,11.2 Alkanes and IUPAC Nomenclature,concept_explanation,What does the prefix in an IUPAC name indicate?,بیان کریں کہ IUPAC نام میں سابقہ کیا ظاہر کرتا ہے۔,Easy,2,ULTRA,1
q_9_chem_ch11_sq_019,1,11.2 Alkanes and IUPAC Nomenclature,numerical_short,Solve the following short numerical problem and show the required working: What is the IUPAC name of CH₃–CH₂–CH₂–CH₃.,درج ذیل مرکب کا IUPAC نام کیا ہے: CH₃–CH₂–CH₂–CH₃؟,Medium,2,PRO,1
q_9_chem_ch11_sq_020,1,11.2 Alkanes and IUPAC Nomenclature,definition_function,Write the IUPAC name of the branched isomer commonly called iso-butane and state the naming basis.,شاخ دار آئسومر جسے عام طور پر iso-butane کہتے ہیں، اس کا IUPAC نام کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔ ایک متعلقہ خصوصیت بھی بیان کریں۔,Medium,2,PRO,1
q_9_chem_ch11_sq_021,1,11.2 Alkanes and IUPAC Nomenclature,application_scenario,From which end is the longest chain numbered in a branched alkane?,شاخ دار الکین میں طویل ترین زنجیر کو کس سرے سے نمبر دیا جاتا ہے؟,Medium,2,PRO,1
q_9_chem_ch11_sq_022,1,11.2 Alkanes and IUPAC Nomenclature,cause_effect,How does branching generally affect the boiling point of butane isomers?,شاخ دار ساخت بیوٹین کے آئسومرز کے نقطۂ ابال پر عموماً کیا اثر ڈالتی ہے؟,Hard,2,PRO,1
q_9_chem_ch11_sq_023,1,11.2 Alkanes and IUPAC Nomenclature,cause_effect,How do melting and boiling points of alkanes generally change from lower to higher members?,کم سے زیادہ ارکان کی طرف جاتے ہوئے الکینز کے نقطۂ پگھلاؤ اور نقطۂ ابال عموماً کیسے بدلتے ہیں؟,Medium,2,PRO,1
TOPIC_SEP,1,11.3 Preparation of Alkanes,topic_separator,,,,,,1
q_9_chem_ch11_sq_024,1,11.3 Preparation of Alkanes,definition_function,Define cracking and state one related characteristic or function.,کریکنگ کی تعریف کریں اور ایک اہم خصوصیت بیان کریں۔,Easy,2,PRO,1
q_9_chem_ch11_sq_025,1,11.3 Preparation of Alkanes,application_scenario,At about what temperature is naphtha cracked?,نیفتھا کو تقریباً کس درجہ حرارت پر کریک کیا جاتا ہے؟,Medium,2,ULTRA,1
q_9_chem_ch11_sq_026,1,11.3 Preparation of Alkanes,list_state,(a) Name the catalyst that is used for cracking naphtha (b) Name the catalyst that is used to hydrogenate alkenes and alkynes to alkanes.,(الف) نیفتھا کی کریکنگ کے لیے کون سا عمل انگیز استعمال ہوتا ہے۔ (ب) الکینز اور الکائنز کو ہائیڈروجنیشن سے الکینز میں بدلنے کے لیے کون سا عمل انگیز استعمال ہوتا ہے۔,Easy,2,PRO,1
q_9_chem_ch11_sq_027,1,11.3 Preparation of Alkanes,concept_explanation,What products are obtained by cracking naphtha as described?,نیفتھا کی کریکنگ سے کون سی مصنوعات حاصل ہوتی ہیں؟,Medium,2,PRO,1
q_9_chem_ch11_sq_028,1,11.3 Preparation of Alkanes,explain_reason,Why is cracking industrially useful?,کریکنگ صنعتی طور پر کیوں مفید ہے؟,Medium,2,PRO,1
q_9_chem_ch11_sq_029,1,11.3 Preparation of Alkanes,application_scenario,At what temperature is nickel-catalysed hydrogenation shown?,نکل کی موجودگی میں ہائیڈروجنیشن کس درجہ حرارت پر دکھائی گئی ہے؟,Medium,2,ULTRA,1
q_9_chem_ch11_sq_030,1,11.3 Preparation of Alkanes,explain_reason,Why is hydrogenation of an alkene called an addition reaction?,الکین کی ہائیڈروجنیشن کو اضافی تعامل کیوں کہا جاتا ہے؟,Medium,2,PRO,1
q_9_chem_ch11_sq_031,1,11.3 Preparation of Alkanes,list_state,(a) Which alkane cannot be prepared by hydrogenating an alkene or alkyne? (b) Define formed when ethene is hydrogenated in the presence of nickel and state one related characteristic or function.,(الف) نام یا شناخت لکھیں: کون سا الکین کسی الکین یا الکائن کی ہائیڈروجنیشن سے تیار نہیں ہو سکتا۔ (ب) نکل کی موجودگی میں ایتھین کی ہائیڈروجنیشن سے کیا بنتا ہے۔,Medium,2,PRO,1
