question_hash,active,topic,bloom_level,question,A,B,C,D,correct_answer,difficulty,marks,weightage,smart_syllabus
TOPIC_SEP,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Topic,,,,,,,,,,1
q_9_eng_ch11_001,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[bureau]].,not showing any feeling or emotion,a desk with drawers and a top that opens down to make a writing table,having developed abilities or behaviour at a much younger age than usual,a very small spot or piece of dirt,B | a desk with drawers and a top that opens down to make a writing table,Easy,1,PRO,1
q_9_eng_ch11_002,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[gallivanting]].,showing a desire to harm somebody or hurt their feelings,in poor condition because of being used a lot,so surprised or shocked that one cannot think clearly,going from place to place enjoying oneself,D | going from place to place enjoying oneself,Easy,1,PRO,1
q_9_eng_ch11_003,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[hearth]].,the floor at the bottom of a fireplace,annoyed or upset,a very small spot or piece of dirt,a desk with drawers and a top that opens down to make a writing table,A | the floor at the bottom of a fireplace,Easy,1,PRO,1
q_9_eng_ch11_004,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[impassive]].,having developed abilities or behaviour at a much younger age than usual,so surprised or shocked that one cannot think clearly,not showing any feeling or emotion,going from place to place enjoying oneself,C | not showing any feeling or emotion,Easy,1,PRO,1
q_9_eng_ch11_005,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[malicious]].,in poor condition because of being used a lot,a desk with drawers and a top that opens down to make a writing table,showing a desire to harm somebody or hurt their feelings,the floor at the bottom of a fireplace,C | showing a desire to harm somebody or hurt their feelings,Easy,1,PRO,1
q_9_eng_ch11_006,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[piqued]].,annoyed or upset,a very small spot or piece of dirt,going from place to place enjoying oneself,not showing any feeling or emotion,A | annoyed or upset,Medium,1,PRO,1
q_9_eng_ch11_007,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[precocious]].,so surprised or shocked that one cannot think clearly,the floor at the bottom of a fireplace,showing a desire to harm somebody or hurt their feelings,having developed abilities or behaviour at a much younger age than usual,D | having developed abilities or behaviour at a much younger age than usual,Medium,1,PRO,1
q_9_eng_ch11_008,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[shabby]].,a desk with drawers and a top that opens down to make a writing table,in poor condition because of being used a lot,not showing any feeling or emotion,annoyed or upset,B | in poor condition because of being used a lot,Medium,1,PRO,1
q_9_eng_ch11_009,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[speck]].,a very small spot or piece of dirt,going from place to place enjoying oneself,showing a desire to harm somebody or hurt their feelings,having developed abilities or behaviour at a much younger age than usual,A | a very small spot or piece of dirt,Medium,1,PRO,1
q_9_eng_ch11_010,1,ENGLISH_A | Unit 11 - The Dear Departed | Complete Glossary,Remember,Choose the correct meaning of [[stupefied]].,the floor at the bottom of a fireplace,annoyed or upset,so surprised or shocked that one cannot think clearly,in poor condition because of being used a lot,C | so surprised or shocked that one cannot think clearly,Medium,1,PRO,1
TOPIC_SEP,1,ENGLISH_A | Unit 11 - The Dear Departed | Correct Spellings,Topic,,,,,,,,,,1
